"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	
1109	1829	281	400	692	398	2176	1017	688	327	594	1803	1436	939	1776	512	1934	329	792	1382	2198	
1150	1770	270	400	730	450	2210	1050	700	350	600	1820	1500	880	1800	540	1980	360	780	1430	2210	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
479	1176	135	242	355	238	1240	443	322	186	259	1175	796	503	933	261	1131	189	414	874	1173	
289	75	68	46	130	67	158	207	145	80	161	70	131	108	156	87	210	47	130	101	276	
382	519	67	112	245	145	812	400	233	84	180	575	573	269	711	192	639	124	236	455	761	
289	75	68	46	130	67	158	207	145	80	161	70	131	108	156	87	210	47	130	101	276	
479	1176	135	242	355	238	1240	443	322	186	259	1175	796	503	933	261	1131	189	414	874	1173	
10	17	1	3	8	1	10	5	9	1	4	10	9	6	5	6	11	1	4	17	15	
758	1234	202	285	477	304	1388	645	458	265	416	1235	918	605	1084	342	1330	235	540	958	1434	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	10	2	2	6	3	15	5	3	2	5	4	3	4	10	0	6	3	6	8	7	
57	168	20	12	60	28	160	87	49	51	32	161	123	60	130	34	204	32	75	117	185	
48	133	16	21	31	35	122	48	32	21	58	102	72	27	82	23	141	25	42	92	99	
626	879	149	243	354	233	1037	476	356	186	312	927	681	481	818	269	912	163	395	713	1094	
10	15	6	5	10	4	20	15	9	4	4	12	14	14	24	6	27	7	11	11	19	
2	3	2	1	3	1	16	4	1	1	2	7	15	4	7	5	9	4	4	6	9	
8	8	4	0	6	0	12	1	2	0	0	12	7	5	8	2	11	0	6	4	12	
3	18	3	1	7	0	6	9	6	0	3	10	3	10	5	3	20	1	1	7	9	
