"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	
724	889	775	833	713	888	811	814	511	319	694	542	104	380	205	487	117	87	727	116	505	248	
760	890	860	900	780	960	830	840	520	333	730	562	104	410	214	510	139	83	795	114	553	253	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
602	756	651	583	647	745	705	662	391	250	520	325	90	352	182	362	68	61	536	62	369	163	
38	60	63	55	22	70	34	80	68	38	83	62	0	8	7	58	34	12	85	29	67	51	
120	74	146	262	111	145	91	98	61	45	127	175	14	50	25	90	37	10	174	23	117	39	
38	60	63	55	22	70	34	80	68	38	83	62	0	8	7	58	34	12	85	29	67	51	
602	756	651	583	647	745	705	662	391	250	520	325	90	352	182	362	68	61	536	62	369	163	
2	1	3	7	5	7	0	0	0	0	3	0	0	0	3	3	0	0	0	1	2	6	
638	815	711	631	664	808	739	742	459	288	600	387	90	360	186	417	102	73	621	90	434	208	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	3	4	2	2	3	0	0	0	2	2	0	0	0	1	0	0	2	0	1	0	
20	12	78	83	59	98	31	21	19	41	25	39	9	11	7	15	13	7	11	7	24	15	
14	16	30	25	15	45	9	12	14	12	8	9	5	6	2	5	4	2	30	1	7	0	
588	779	591	511	580	655	687	706	417	231	556	326	76	343	176	392	77	64	569	81	396	192	
5	3	6	4	5	0	4	2	0	1	6	5	0	0	1	4	4	0	1	1	4	0	
4	0	2	1	0	3	2	1	9	1	1	5	0	0	0	0	3	0	4	0	1	1	
5	2	1	1	2	1	1	0	0	2	1	0	0	0	0	0	0	0	3	0	1	0	
1	2	0	2	1	4	2	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	
