"УИК №869"	"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	"УИК №874"	"УИК №875"	"УИК №876"	"УИК №877"	"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №882"	"УИК №883"	"УИК №884"	"УИК №885"	"УИК №886"	"УИК №887"	"УИК №888"	"УИК №889"	"УИК №890"	"УИК №891"	"УИК №892"	"УИК №893"	"УИК №894"	"УИК №895"	"УИК №896"	"УИК №897"	"УИК №898"	"УИК №3504"	
838	1790	2991	136	749	363	315	181	600	174	499	609	284	188	434	177	548	252	213	128	516	248	251	151	320	320	496	356	263	356	170	
866	1815	3003	147	747	378	330	200	612	207	555	634	286	196	446	189	553	261	220	140	524	256	249	153	327	326	511	366	268	366	166	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
598	1338	1414	98	360	223	176	162	397	110	351	493	232	54	307	151	391	226	173	103	381	236	214	108	279	290	411	321	243	326	148	
141	364	603	17	207	115	107	14	177	59	139	74	23	70	115	12	109	12	31	18	115	6	21	25	34	12	61	16	7	9	14	
127	113	986	32	180	40	47	24	38	38	65	67	31	72	24	26	53	23	16	19	28	14	14	20	14	24	39	29	18	31	4	
141	364	603	17	207	115	107	14	177	59	139	74	23	70	115	12	109	12	31	18	115	6	21	25	34	12	61	16	7	9	14	
598	1338	1414	98	360	223	176	162	397	110	351	493	232	54	307	151	391	226	173	103	381	236	214	108	279	290	411	321	243	326	148	
12	10	14	3	7	0	0	1	0	0	3	1	1	1	4	0	2	0	0	1	0	0	4	0	0	3	2	0	1	0	2	
727	1692	2003	112	560	338	283	175	574	169	487	566	254	123	418	163	498	238	204	120	496	242	231	133	313	299	470	337	249	335	160	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	2	12	0	7	0	1	1	2	4	1	3	3	2	4	0	8	3	1	1	0	0	0	0	0	2	1	1	0	2	1	
25	103	198	15	30	24	20	5	24	6	14	29	22	3	24	20	33	16	13	5	7	26	28	4	14	33	39	17	16	26	11	
27	76	134	7	44	18	10	4	23	10	5	48	19	8	21	5	26	8	13	8	25	7	8	5	12	9	33	5	8	11	10	
622	1475	1590	89	463	287	249	159	513	147	463	480	198	107	347	138	416	205	177	102	446	203	191	122	284	250	382	308	218	281	129	
16	6	30	1	3	2	1	2	3	1	1	2	4	1	5	0	7	4	0	1	7	1	0	1	2	1	3	3	2	8	7	
16	13	8	0	5	5	2	3	3	1	1	2	4	1	6	0	3	1	0	1	4	5	3	1	0	2	3	3	2	6	2	
9	9	14	0	4	2	0	1	3	0	0	0	3	1	7	0	2	1	0	1	1	0	1	0	1	0	7	0	3	0	0	
5	8	17	0	4	0	0	0	3	0	2	2	1	0	4	0	3	0	0	1	6	0	0	0	0	2	2	0	0	1	0	
