"УИК №1245"	"УИК №1246"	"УИК №1247"	"УИК №1248"	"УИК №1249"	"УИК №1250"	"УИК №1251"	"УИК №1252"	"УИК №1253"	"УИК №1254"	"УИК №1255"	"УИК №1256"	"УИК №1257"	"УИК №1258"	"УИК №1259"	"УИК №1260"	"УИК №1261"	"УИК №1262"	"УИК №1263"	"УИК №1264"	"УИК №1265"	"УИК №1266"	"УИК №1267"	"УИК №1268"	"УИК №1269"	"УИК №1270"	"УИК №1271"	"УИК №1272"	"УИК №1273"	"УИК №1274"	"УИК №1275"	"УИК №1276"	
773	459	1004	241	396	99	350	584	87	131	218	1233	1045	1197	1198	547	235	298	142	295	259	1240	281	133	249	105	521	136	133	333	629	316	
776	496	1031	245	413	108	367	626	90	141	228	1275	1067	1224	1231	557	242	305	152	308	266	1281	290	138	249	115	533	140	133	355	652	331	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
371	364	807	214	358	93	315	378	59	87	177	768	531	918	969	456	209	261	134	249	246	1085	215	120	202	80	467	128	121	167	559	275	
71	60	112	8	21	0	26	22	13	10	10	103	69	54	48	50	13	19	5	17	2	60	42	10	38	25	34	7	12	32	45	28	
334	72	112	23	34	15	26	226	18	44	41	404	467	252	214	51	20	25	13	42	18	136	33	8	9	10	32	5	0	156	48	28	
71	60	112	8	21	0	26	22	13	10	10	103	69	54	48	50	13	19	5	17	2	60	42	10	38	25	34	7	12	32	45	28	
371	364	807	214	358	93	315	378	59	87	177	768	531	918	969	456	209	261	134	249	246	1085	215	120	202	80	467	128	121	167	559	275	
2	0	6	0	0	0	0	10	0	0	0	8	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	
440	424	913	222	379	93	341	390	72	97	187	863	595	972	1011	506	222	280	139	266	248	1145	257	130	240	105	501	135	133	198	602	303	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	6	0	2	0	0	1	0	1	2	3	6	4	4	1	2	0	0	0	3	3	0	0	0	0	1	2	0	1	1	0	
122	40	79	91	16	3	32	111	14	39	41	168	124	98	124	73	28	14	14	42	10	271	47	6	12	3	27	15	5	59	75	15	
25	20	57	3	6	3	15	16	8	5	19	81	43	57	38	29	11	6	2	11	5	5	19	3	12	8	2	3	6	8	3	4	
282	358	760	128	347	86	292	258	50	50	114	592	400	803	824	392	176	256	122	207	228	853	188	119	214	90	467	115	119	120	519	282	
4	1	2	0	3	0	1	1	0	0	1	4	4	5	3	4	0	1	1	0	1	5	3	0	0	0	1	0	1	1	2	2	
4	3	1	0	3	1	1	3	0	0	4	5	8	2	7	4	5	2	0	6	1	2	0	0	2	1	3	0	2	4	1	0	
1	1	7	0	2	0	0	0	0	0	5	4	4	2	7	1	0	1	0	0	0	3	0	1	0	0	0	0	0	4	0	0	
0	0	1	0	0	0	0	0	0	2	1	6	6	1	4	2	0	0	0	0	0	3	0	1	0	3	0	0	0	1	1	0	
