"УИК №1504"	"УИК №1505"	"УИК №1506"	"УИК №1507"	"УИК №1508"	"УИК №1509"	"УИК №1510"	"УИК №1511"	"УИК №1512"	"УИК №1513"	"УИК №1514"	"УИК №1515"	"УИК №1516"	"УИК №1517"	"УИК №1518"	"УИК №1519"	"УИК №1520"	"УИК №1521"	"УИК №1522"	"УИК №1523"	"УИК №1524"	"УИК №1525"	"УИК №1526"	"УИК №1527"	"УИК №1528"	"УИК №1529"	"УИК №1530"	"УИК №1531"	"УИК №1532"	"УИК №1533"	"УИК №1534"	"УИК №1535"	"УИК №1536"	"УИК №1537"	"УИК №1538"	"УИК №1539"	"УИК №1540"	"УИК №1541"	"УИК №1542"	"УИК №1543"	"УИК №1544"	"УИК №1545"	"УИК №1546"	"УИК №1547"	"УИК №1548"	"УИК №1549"	"УИК №1550"	"УИК №1551"	"УИК №1552"	"УИК №1555"	"УИК №1556"	"УИК №1564"	
846	1052	781	1035	336	408	218	1870	1369	314	730	183	268	1354	210	1383	1361	1472	240	1048	176	254	835	1164	2235	1159	97	1183	475	313	2793	1125	2506	1266	307	721	887	442	1117	1755	1557	783	1851	1527	2647	2769	2140	1434	1091	2271	1451	2010	
800	1000	750	1000	330	400	220	1800	1250	290	740	180	280	1250	210	1250	1250	1400	260	950	230	270	800	1050	2100	1100	100	1100	480	310	2350	1000	2200	1100	300	730	800	440	1100	1700	1320	750	1850	1540	2000	2000	1600	1100	800	2280	1450	1980	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
611	824	690	816	284	302	188	1486	1118	241	484	120	233	1065	124	1043	854	810	137	566	122	158	605	849	1282	756	71	848	346	226	1698	880	1941	1061	257	619	504	389	896	1134	1284	676	1512	1335	1474	1418	1131	840	592	2221	1445	1868	
100	80	36	34	20	50	0	47	20	30	74	30	8	39	54	79	71	62	18	34	11	19	90	80	83	81	10	146	82	15	109	48	95	15	35	29	22	18	31	41	24	37	18	25	115	106	56	96	73	0	0	0	
89	96	24	150	26	48	32	267	112	19	182	30	39	146	32	128	325	528	105	350	97	93	105	121	735	263	19	106	52	69	543	72	164	24	8	82	274	33	173	525	12	37	320	180	411	476	413	164	135	59	5	112	
100	80	36	34	20	50	0	47	20	30	74	30	8	39	54	79	71	62	18	34	11	19	90	80	83	81	10	146	82	15	109	48	95	15	35	29	22	18	31	41	24	37	18	25	115	106	56	96	73	0	0	0	
611	824	654	816	284	302	188	1486	1118	241	484	120	233	1065	124	1043	854	810	137	566	122	158	605	849	1282	756	71	848	346	226	1698	880	1941	1061	257	619	504	389	895	1093	1284	676	1512	1335	1474	1418	1131	840	592	2221	1445	1868	
0	0	0	5	0	0	0	0	0	0	5	1	0	0	1	0	11	13	1	12	0	0	0	0	4	11	0	0	4	0	11	0	17	0	4	3	3	0	20	9	8	0	9	0	10	15	18	6	4	36	13	15	
711	904	690	845	304	352	188	1533	1138	271	553	149	241	1104	177	1122	914	859	154	588	133	177	695	929	1361	826	81	994	424	241	1796	928	2019	1076	288	645	523	407	906	1125	1300	713	1521	1360	1579	1509	1169	930	661	2185	1432	1853	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	0	0	0	0	0	0	15	1	1	3	0	1	5	2	3	5	3	0	1	2	1	0	6	21	5	0	3	3	0	6	3	5	2	0	4	1	0	2	3	5	3	9	1	9	14	5	0	4	6	4	2	
55	69	14	51	9	12	9	76	75	18	40	15	15	100	9	90	122	113	10	89	11	10	69	41	96	82	5	29	21	12	195	64	136	74	8	89	66	16	62	179	218	65	117	122	71	179	157	104	84	167	161	99	
19	26	10	35	12	7	9	69	60	9	25	3	1	35	8	64	78	59	9	59	4	5	19	58	23	48	1	31	21	3	80	29	62	37	15	31	25	6	49	96	83	19	61	37	65	115	97	55	41	184	120	66	
626	807	666	755	280	332	168	1310	974	238	477	130	217	947	157	943	697	665	131	430	113	160	604	771	1150	677	73	885	372	225	1473	821	1808	953	264	511	427	384	779	816	963	620	1284	1186	1393	1169	877	757	511	1742	1096	1657	
2	0	0	1	2	0	1	7	0	0	2	0	2	6	0	5	2	1	0	2	0	1	1	3	12	4	0	9	0	1	10	2	2	0	0	2	2	0	3	16	14	2	29	8	17	7	16	5	5	54	32	19	
2	0	0	2	0	0	1	25	22	0	5	0	2	4	0	9	4	12	3	5	2	0	1	45	23	7	0	12	5	0	22	4	2	1	1	7	1	0	2	6	5	0	4	1	9	7	6	4	3	8	6	4	
2	2	0	0	1	1	0	17	5	2	1	0	1	4	0	6	3	2	1	2	0	0	1	5	24	1	0	11	1	0	9	3	1	6	0	1	1	1	2	6	6	2	11	3	9	10	8	4	6	17	6	3	
1	0	0	1	0	0	0	14	1	3	0	1	2	3	1	2	3	4	0	0	1	0	0	0	12	2	2	14	1	0	1	2	3	3	0	0	0	0	7	3	6	2	6	2	6	8	3	1	7	7	7	3	
