"УИК №230"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	
2211	2214	2002	2024	2097	2161	2088	1941	1951	2100	2419	2434	2544	2493	2488	2401	2747	2218	2340	
2000	2200	2000	2000	2000	2000	2000	1900	1900	2000	2500	2400	2600	2500	2400	2400	2700	2100	2300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1547	1626	1477	1509	1570	1580	1588	1439	1440	1510	1855	1775	1950	1880	1707	1727	2056	1642	1981	
182	162	152	85	146	177	149	180	168	165	179	187	183	186	310	186	185	163	108	
271	412	371	406	284	243	263	281	292	325	466	438	467	434	383	487	459	295	211	
182	162	152	85	146	177	149	180	168	165	179	187	183	186	310	186	185	163	108	
1530	1614	1461	1505	1558	1562	1578	1430	1427	1499	1841	1757	1931	1862	1693	1711	2050	1623	1967	
11	15	10	11	12	15	13	18	11	10	16	12	14	12	13	12	15	12	13	
1701	1761	1603	1579	1692	1724	1714	1592	1584	1654	2004	1932	2100	2036	1990	1885	2220	1774	2062	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

43	11	34	10	42	21	42	11	28	21	32	2	36	32	45	25	15	40	29	
31	32	25	136	31	37	29	211	29	30	37	49	39	30	29	33	143	24	22	
128	134	115	102	118	127	110	136	109	118	153	115	157	157	150	145	82	136	146	
1437	1514	1359	1280	1427	1475	1459	1172	1347	1410	1694	1706	1775	1718	1678	1594	1946	1506	1779	
27	20	15	20	18	2	16	27	15	21	31	23	38	35	26	28	13	20	25	
8	18	27	9	9	8	5	15	7	8	8	11	4	6	7	9	14	4	7	
4	0	6	11	6	10	6	10	5	6	0	3	8	10	11	12	3	9	2	
23	32	22	11	41	44	47	10	44	40	49	23	43	48	44	39	4	35	52	
