"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №695"	
3008	2905	2802	2795	2845	2860	2798	2780	2525	2478	1882	
2700	2700	2600	2700	2700	2700	2300	2700	2400	2500	1800	
0	0	0	0	0	0	0	0	0	0	0	
1500	2027	1683	1868	1850	1871	1847	1607	1648	1560	1335	
402	32	96	27	58	33	32	40	27	37	26	
798	641	821	805	792	796	421	1053	725	903	439	
402	32	96	27	58	33	32	40	27	37	26	
1497	2027	1587	1868	1850	1871	1847	1607	1648	1560	1333	
20	23	22	24	20	23	20	26	19	16	14	
1879	2036	1661	1871	1888	1881	1859	1621	1656	1581	1345	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

6	13	8	13	10	10	9	6	13	14	9	
224	260	197	217	237	260	248	222	226	218	146	
173	169	152	175	155	135	159	155	137	173	125	
1402	1532	1251	1393	1424	1420	1373	1188	1234	1123	1021	
33	31	16	35	44	19	31	18	22	31	25	
9	9	11	14	5	14	13	9	4	5	6	
11	7	13	13	4	11	15	11	9	8	10	
21	15	13	11	9	12	11	12	11	9	3	
