"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	"УИК №265"	"УИК №266"	"УИК №267"	"УИК №268"	"УИК №269"	"УИК №270"	"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №1146"	
1709	1233	1542	1655	1681	2033	2199	2113	2027	1632	2139	1891	2369	1922	2219	2086	1923	1980	2223	509	1883	2024	1857	1414	1779	1768	2134	1604	1481	1429	2295	2189	1996	2666	2601	1617	1701	1805	1628	350	1885	2203	2042	2097	2055	2037	2135	2137	2182	2091	2051	1445	1906	1705	2146	2296	2251	1911	2285	1952	1430	1973	1909	1673	1384	1495	1451	1402	1891	2271	2148	1455	1567	1674	305	2084	2351	2212	1906	1577	747	1856	1848	1556	2027	1695	1472	2023	1573	1979	1814	1822	1917	1947	2038	1858	2578	2061	1459	1935	1694	1914	2151	1321	1370	1579	2130	1199	2098	1704	1691	1780	2148	1629	2022	276	
1750	1200	1500	1600	1650	2050	2200	2100	2000	1480	2200	1850	2250	1950	2200	2050	1850	2000	2250	510	1900	2050	1800	1400	1750	1800	2200	1500	1450	1450	2350	2150	1950	2700	2600	1650	1700	1800	1650	350	1900	2200	2050	2050	2000	1950	2050	2200	2200	2100	2100	1450	1850	1700	2150	2300	2250	1900	2300	1950	1400	2000	1950	1450	1350	1450	1450	1400	1900	2300	2150	1500	1550	1700	300	2050	2300	2250	1950	1600	690	1900	1900	1450	2050	1750	1450	2050	1550	1950	1800	1800	1900	1900	1950	1850	2600	2100	1450	2000	1700	1850	2250	1350	1250	1550	2150	1150	2050	1700	1700	1800	2150	1650	1950	280	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
917	1159	712	757	777	1039	1011	1001	847	661	929	892	1157	1066	1198	1166	1090	976	1120	120	841	903	970	721	950	1005	1303	1162	786	665	1233	1068	1177	1206	1057	792	872	826	1234	349	1024	1167	1151	1326	738	807	1388	1114	1118	869	1165	859	819	755	1078	1255	963	929	1034	956	545	1106	1205	861	647	748	691	730	872	1083	1092	683	785	761	201	998	1191	988	875	721	582	887	898	890	867	784	873	1127	783	1005	1035	901	754	847	1455	1103	1766	992	705	1016	876	1040	1031	669	741	850	1178	836	1054	939	905	832	1101	864	1101	264	
28	11	95	44	47	18	63	50	65	198	46	92	20	36	31	49	36	44	44	389	69	53	27	22	35	41	85	41	35	46	48	32	33	60	36	97	38	45	13	0	36	55	45	56	52	84	83	35	36	63	66	80	36	27	113	147	56	67	51	18	14	34	51	43	37	24	95	21	33	39	59	54	38	42	23	73	62	66	92	17	10	68	39	42	87	46	28	45	15	48	22	86	48	46	12	12	11	40	19	18	35	41	54	16	6	39	44	16	43	49	18	37	49	12	27	12	
805	30	693	799	826	993	1126	1049	1088	621	1225	866	1073	848	971	835	724	980	1085	1	990	1094	803	657	765	754	812	297	629	739	1069	1050	740	1434	1507	761	790	929	403	1	840	978	854	668	1210	1059	579	1051	1046	1168	869	511	995	918	959	898	1231	904	1215	976	841	860	694	546	666	678	664	649	995	1178	999	763	727	897	76	979	1047	1196	983	862	98	945	963	518	1096	920	549	878	752	897	743	813	1098	1007	483	735	823	1068	726	966	789	769	1165	665	503	661	928	298	953	712	777	931	1000	774	822	4	
28	11	95	44	47	18	63	50	65	198	46	92	20	36	31	49	36	44	44	389	69	53	27	22	35	41	85	41	35	46	48	32	33	60	36	97	38	45	13	0	36	55	45	56	52	84	83	35	36	63	66	80	36	27	113	147	56	67	51	18	14	34	51	43	37	24	95	21	33	39	59	54	38	42	23	73	62	66	92	17	10	68	39	42	87	45	28	45	15	48	22	86	48	46	12	12	11	40	19	18	35	41	54	16	6	39	44	16	43	49	18	37	49	12	27	12	
917	1159	712	756	777	1039	1011	1001	847	661	929	892	1157	1066	1198	1166	1090	976	1120	120	841	903	968	721	946	1005	1303	1162	786	665	1233	1068	1177	1206	1057	792	872	826	1234	349	1024	1167	1151	1321	737	807	1388	1114	1118	869	1165	859	819	755	1078	1255	962	928	1034	956	545	1106	1205	859	646	745	691	730	872	1083	1092	683	785	761	201	998	1191	988	875	721	582	887	896	890	867	784	873	1127	783	1005	1035	901	754	847	1453	1103	1766	992	705	1015	876	1040	1031	669	741	850	1178	836	1054	939	903	832	1101	864	1101	264	
10	4	21	4	5	15	7	0	9	0	0	1	9	12	7	2	3	15	14	8	49	8	18	0	8	0	0	0	6	7	7	7	17	9	4	2	12	7	8	0	7	10	13	9	9	2	14	10	4	4	0	10	10	7	14	17	6	14	3	7	8	0	0	11	11	8	0	12	16	17	8	5	5	31	9	0	0	9	5	8	0	7	6	4	8	9	0	11	7	4	12	5	5	18	13	2	9	0	0	10	13	11	7	7	4	6	8	4	13	0	6	0	9	5	7	4	
935	1166	786	796	819	1042	1067	1051	903	859	975	983	1168	1090	1222	1213	1123	1005	1150	501	861	948	977	743	973	1046	1388	1203	815	704	1274	1093	1193	1257	1089	887	898	864	1239	349	1053	1212	1183	1368	780	889	1457	1139	1150	928	1231	929	845	775	1177	1385	1012	981	1082	967	551	1140	1256	891	672	761	786	739	889	1105	1143	732	818	772	215	1071	1253	1045	962	730	592	948	929	928	946	820	901	1161	791	1049	1045	982	797	875	1452	1113	1768	1032	724	1023	898	1070	1078	678	743	883	1214	848	1084	988	915	869	1141	871	1121	272	
