"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	"УИК №252"	"УИК №253"	"УИК №254"	"УИК №255"	"УИК №256"	"УИК №257"	"УИК №258"	"УИК №259"	"УИК №260"	"УИК №261"	"УИК №262"	"УИК №263"	"УИК №264"	
601	1650	1572	645	1179	154	376	328	434	147	154	338	117	375	283	424	373	702	183	219	373	176	228	250	148	1026	363	196	212	364	
500	1350	1300	550	950	120	300	250	400	130	130	250	100	300	250	350	300	550	150	200	300	150	200	200	120	800	300	150	200	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
331	970	928	315	573	71	217	157	190	60	77	139	57	209	163	197	180	331	55	56	151	55	94	95	65	543	208	68	86	140	
9	44	44	10	36	15	23	41	54	24	12	36	15	58	35	76	82	44	59	57	46	30	24	46	33	85	30	45	24	53	
160	336	328	225	341	34	60	52	156	46	41	75	28	33	52	77	38	175	36	87	103	65	82	59	22	172	62	37	90	107	
9	44	44	10	36	15	23	41	54	24	12	36	15	58	35	76	82	44	59	57	46	30	24	46	33	85	30	45	24	53	
331	970	928	315	573	71	217	157	190	60	77	139	57	209	163	197	180	331	55	56	151	55	94	95	65	543	208	68	86	140	
4	13	18	2	10	1	0	3	1	0	0	2	0	1	1	4	3	6	0	0	1	0	2	0	0	9	1	1	1	2	
336	1001	954	323	599	85	240	195	243	84	89	173	72	266	197	269	259	369	114	113	196	85	116	141	98	619	237	112	109	191	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	11	10	4	4	0	1	0	1	1	0	4	0	0	1	0	1	3	2	0	0	0	1	0	1	7	1	3	0	0	
56	167	137	55	103	10	28	22	29	12	14	22	3	43	31	43	45	65	16	15	21	16	11	24	12	98	29	16	18	31	
32	77	77	26	52	5	14	17	25	19	4	16	2	31	18	24	22	33	5	3	13	7	6	9	6	49	26	12	10	17	
232	709	699	227	427	65	195	148	184	50	70	123	63	180	143	199	181	264	87	94	161	60	96	107	77	449	177	74	79	136	
3	10	10	4	4	2	1	5	2	0	0	3	4	4	0	2	5	1	2	0	1	0	1	0	0	7	2	2	2	4	
4	12	4	3	3	1	0	1	1	0	1	3	0	4	2	1	3	3	0	0	0	1	0	0	1	2	2	2	0	2	
4	8	12	2	3	1	1	0	0	2	0	2	0	4	0	0	1	0	1	0	0	1	1	0	0	4	0	3	0	0	
3	7	5	2	3	1	0	2	1	0	0	0	0	0	2	0	1	0	1	1	0	0	0	1	1	3	0	0	0	1	
