"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	
820	1342	1887	1069	1288	1119	1137	686	969	423	608	578	321	2148	1234	1663	703	
850	1350	1900	1050	1300	1100	1150	750	1000	400	700	650	320	2180	1200	1650	800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
731	1250	1748	983	1223	1065	1071	621	885	398	571	407	305	1996	1155	1553	636	
24	16	26	31	0	0	13	15	18	0	0	135	0	27	17	29	21	
95	84	126	36	77	35	66	114	97	2	129	108	15	157	28	68	143	
24	16	26	31	0	0	13	15	18	0	0	135	0	27	17	29	21	
730	1248	1747	981	1222	1064	1069	619	885	397	565	398	304	1994	1154	1551	622	
2	3	2	1	1	2	3	3	2	1	2	2	3	2	2	1	2	
752	1261	1771	1011	1221	1062	1079	631	901	396	563	531	301	2019	1169	1579	641	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	5	6	4	5	4	4	3	4	3	2	3	2	7	3	7	4	
31	48	76	41	37	41	41	26	36	15	20	21	12	68	45	48	22	
3	12	16	21	19	9	9	3	4	2	2	2	5	19	15	16	3	
703	1182	1656	929	1144	994	1010	588	845	363	527	494	273	1908	1088	1491	598	
2	3	4	5	3	4	4	3	2	4	3	3	3	5	4	4	5	
3	4	4	3	4	4	3	2	4	3	3	3	2	3	5	4	4	
2	4	6	4	4	3	4	2	3	2	2	2	1	6	4	5	3	
5	3	3	4	5	3	4	4	3	4	4	3	3	3	5	4	2	
