"УИК №3601"	"УИК №3602"	"УИК №3603"	"УИК №3604"	"УИК №3605"	"УИК №3606"	"УИК №3607"	"УИК №3608"	"УИК №3609"	"УИК №3610"	"УИК №3611"	"УИК №3612"	"УИК №3613"	"УИК №3614"	"УИК №3615"	"УИК №3616"	"УИК №3617"	"УИК №3618"	"УИК №3619"	"УИК №3620"	"УИК №3621"	"УИК №3622"	"УИК №3623"	"УИК №3624"	"УИК №3625"	"УИК №3626"	"УИК №3627"	"УИК №3628"	"УИК №3629"	"УИК №3630"	"УИК №3631"	"УИК №3632"	"УИК №3633"	"УИК №3634"	"УИК №3635"	"УИК №3636"	"УИК №3637"	"УИК №3638"	"УИК №3639"	"УИК №3640"	"УИК №3641"	"УИК №3642"	"УИК №3643"	"УИК №3644"	"УИК №3645"	"УИК №3646"	"УИК №3647"	"УИК №3648"	"УИК №3649"	"УИК №3650"	"УИК №3651"	"УИК №3652"	"УИК №3653"	"УИК №3654"	"УИК №3655"	"УИК №3656"	
481	116	144	1165	1623	1202	2905	2491	481	132	74	103	237	989	322	326	785	287	268	173	203	933	531	1433	432	825	253	2138	2001	634	234	541	177	2770	298	563	254	1841	2468	1394	1563	509	1025	2125	2059	888	1507	757	643	302	180	201	196	1298	1676	283	
450	110	120	1000	1500	1000	2700	2400	350	100	60	80	200	900	300	300	750	250	250	150	170	900	500	1300	400	750	200	2000	1900	600	200	450	160	2600	250	500	200	1600	2300	1200	1300	450	1000	2000	1700	800	1400	650	550	270	160	180	180	1100	1550	270	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
250	55	87	596	758	607	1551	1478	280	73	31	53	137	487	191	254	357	153	99	93	76	610	264	741	215	423	100	1343	1120	299	86	243	92	1500	129	237	116	805	1245	643	753	287	511	873	807	283	774	309	335	133	107	106	94	495	790	139	
35	6	6	48	23	19	36	30	23	7	0	3	6	46	11	8	28	84	24	15	13	25	12	41	25	34	14	33	18	8	9	26	7	15	14	15	8	13	25	20	19	107	46	25	27	22	15	22	26	5	7	7	18	36	26	23	
165	49	27	356	719	374	1113	892	47	20	29	24	57	367	98	38	365	13	127	42	81	265	224	518	160	293	86	624	762	293	105	181	61	1085	107	248	76	782	1030	537	528	56	443	1102	866	495	611	319	189	132	46	67	68	569	734	108	
35	6	6	48	23	19	36	30	23	7	0	3	6	46	11	8	28	84	24	15	13	25	12	41	25	34	14	33	18	8	9	26	7	15	14	15	8	13	25	20	19	107	46	25	27	22	15	22	26	5	7	7	18	36	26	23	
250	55	87	596	758	607	1551	1478	280	73	31	53	137	487	191	254	357	153	99	93	76	610	264	741	215	423	100	1343	1120	299	86	243	92	1500	129	237	116	805	1245	643	734	286	511	872	807	283	774	309	335	133	107	106	94	495	790	139	
2	0	0	9	6	12	18	15	0	1	0	0	4	6	1	0	3	1	2	1	2	14	1	8	4	10	2	20	16	2	1	7	0	26	3	7	4	11	25	8	9	18	17	14	11	5	10	2	4	1	0	6	2	8	12	1	
283	61	93	635	775	614	1569	1493	303	79	31	56	139	527	201	262	382	236	121	107	87	621	275	774	236	447	112	1356	1122	305	94	262	99	1489	140	245	120	807	1245	655	744	375	540	883	823	300	779	329	357	137	114	107	110	523	804	161	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	0	2	2	3	8	6	1	0	0	1	0	1	0	3	0	0	0	0	0	3	3	5	0	2	0	7	4	1	2	1	0	8	0	3	2	3	9	3	5	7	1	4	7	1	4	1	3	0	1	0	2	1	1	1	
18	4	12	58	82	98	282	229	33	14	2	8	26	69	19	50	36	6	8	27	4	76	56	97	24	39	2	188	155	64	15	42	15	275	12	29	8	129	176	122	89	25	97	114	109	35	116	27	31	13	10	6	21	51	72	6	
49	7	5	50	80	44	137	152	33	5	1	6	11	55	19	40	39	23	10	12	13	96	33	124	33	42	10	148	136	32	6	15	6	140	8	34	5	67	108	80	79	36	69	95	102	34	67	31	41	7	6	12	11	70	85	19	
211	48	69	505	605	454	1107	1048	223	57	28	40	100	397	162	159	304	206	98	63	69	432	176	533	176	356	99	960	800	202	69	201	77	1017	117	176	105	587	918	433	550	301	362	659	586	225	571	267	275	115	95	85	74	387	636	135	
1	1	4	10	1	10	16	41	7	0	0	0	2	0	1	6	2	1	3	1	0	7	3	9	1	1	1	29	13	3	0	1	0	15	2	0	0	8	7	4	4	2	1	4	7	2	5	1	4	0	2	3	0	8	5	0	
0	0	1	6	3	5	7	3	2	1	0	1	0	1	0	1	1	0	2	1	0	3	1	2	2	5	0	7	3	2	0	0	1	17	0	3	0	4	10	8	7	2	5	4	5	1	8	2	3	1	0	1	2	2	2	0	
3	0	0	3	2	0	10	4	2	0	0	0	0	4	0	1	0	0	0	0	1	3	1	2	0	1	0	5	4	1	1	0	0	7	0	0	0	6	10	5	7	1	5	2	4	0	3	0	0	1	0	0	0	3	2	0	
0	0	2	1	0	0	2	10	2	2	0	0	0	0	0	2	0	0	0	3	0	1	2	2	0	1	0	12	7	0	1	2	0	10	1	0	0	3	7	0	3	1	0	1	3	2	5	0	0	0	0	0	0	1	1	0	
