"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1407"	"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	"УИК №1412"	"УИК №1413"	
880	1898	2363	658	202	566	144	230	503	935	675	587	731	
959	1950	2410	730	215	587	130	238	557	1128	736	692	818	
0	0	0	62	0	0	0	0	27	95	65	75	23	
468	1031	1159	421	129	300	96	147	347	698	507	397	615	
24	75	41	31	14	37	5	12	47	55	39	43	16	
467	844	1210	216	72	250	29	79	136	280	125	177	164	
24	75	41	93	14	37	5	12	74	150	104	118	39	
468	1031	1159	421	129	300	96	147	347	698	507	397	615	
6	12	11	1	2	1	0	4	1	5	3	1	1	
486	1094	1189	513	141	336	101	155	420	843	608	514	653	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	3	0	0	0	2	1	1	0	3	0	0	
96	272	267	49	7	53	16	28	49	111	47	116	66	
44	43	75	4	5	41	12	24	12	15	15	13	7	
338	755	817	450	129	237	71	99	353	708	535	366	573	
5	12	13	4	0	2	0	0	2	7	5	12	4	
1	2	7	3	0	1	0	2	1	1	1	2	2	
0	3	2	0	0	0	0	0	0	0	1	5	0	
2	5	5	3	0	2	0	1	2	1	1	0	1	
