"УИК №2791"	"УИК №2792"	"УИК №2793"	"УИК №2794"	"УИК №2795"	"УИК №2796"	"УИК №2797"	"УИК №2798"	"УИК №2799"	"УИК №2800"	"УИК №2801"	"УИК №2802"	"УИК №2803"	"УИК №2804"	"УИК №2805"	"УИК №2806"	"УИК №2807"	"УИК №2808"	"УИК №2809"	"УИК №2810"	"УИК №2811"	"УИК №2812"	"УИК №2813"	"УИК №2814"	"УИК №2815"	"УИК №2816"	"УИК №2817"	"УИК №2818"	"УИК №3423"	"УИК №3765"	
2818	3033	3106	2430	2657	2622	2198	2249	2684	2861	2399	2675	1451	1673	2653	2503	2390	3054	2679	2364	2150	2160	2247	2914	2142	2453	2289	2397	2135	390	
1800	2200	2100	1800	2100	2000	1700	1800	2100	2300	1900	2100	1200	1300	2000	2000	1900	2100	2200	1900	1600	1700	1800	2100	1800	1900	1900	1900	1700	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1380	1617	1783	1407	1450	1475	1190	1276	1582	1503	1357	1524	734	991	1556	1535	1385	1880	1640	1436	1318	1300	1317	1796	1409	1425	1182	1298	1299	314	
96	69	78	50	57	69	30	50	67	69	80	57	59	39	48	56	57	40	39	47	11	56	45	45	32	37	73	74	32	74	
324	514	239	343	593	456	480	474	451	728	463	519	407	270	396	409	458	180	521	417	271	344	438	259	359	438	645	528	369	112	
96	69	78	50	57	69	30	50	67	69	80	57	59	39	48	56	57	40	39	47	11	56	45	45	32	37	73	74	32	74	
1375	1617	1782	1400	1448	1472	1185	1276	1582	1501	1353	1518	734	987	1555	1532	1385	1880	1640	1435	1316	1298	1317	1795	1408	1425	1182	1298	1299	314	
13	23	23	21	22	14	13	21	18	25	5	14	8	13	26	31	15	35	33	24	15	18	17	37	17	16	15	12	16	10	
1458	1663	1837	1429	1483	1527	1202	1305	1631	1545	1428	1561	785	1013	1577	1557	1427	1885	1646	1458	1312	1336	1345	1803	1423	1446	1240	1360	1315	378	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	15	23	7	7	13	11	7	7	9	10	11	11	11	13	12	20	16	13	15	9	16	16	26	11	7	19	12	16	1	
185	201	238	174	162	169	139	136	167	195	141	178	87	104	155	190	153	263	189	145	183	129	149	219	207	167	139	164	114	24	
77	78	124	72	83	71	71	68	97	84	77	76	40	52	90	88	93	86	70	81	48	68	81	107	97	68	66	77	75	4	
1077	1276	1311	1052	1126	1167	912	1005	1284	1117	1081	1188	572	774	1217	1170	1082	1380	1245	1120	947	1042	1036	1362	1011	1070	947	1007	1011	340	
60	50	52	51	37	46	24	40	31	73	59	39	28	32	44	46	37	66	49	35	52	29	15	49	39	57	32	44	43	3	
6	11	11	15	9	11	12	14	9	11	11	9	3	6	14	10	3	12	15	15	6	11	11	9	16	9	11	16	23	1	
14	11	33	26	20	21	14	14	15	18	18	11	11	12	18	8	15	27	17	23	32	12	11	15	24	15	8	16	13	0	
28	21	45	32	39	29	19	21	21	38	31	49	33	22	26	33	24	35	48	24	35	29	26	16	18	53	18	24	20	5	
