"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	
482	318	366	1422	1299	347	425	161	70	151	443	351	247	44	329	301	291	687	718	209	118	421	313	376	
462	308	352	1367	1259	329	414	160	67	143	440	339	243	44	323	291	281	670	672	206	112	404	298	361	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
412	276	306	1183	1023	293	365	128	56	127	402	297	211	38	289	263	234	597	576	191	96	360	274	312	
43	26	37	98	152	35	26	13	7	10	30	42	20	3	23	28	41	58	94	7	14	43	22	36	
7	6	9	86	84	1	23	19	4	6	8	0	12	3	11	0	6	15	2	8	2	1	2	13	
43	26	37	98	152	35	26	13	7	10	30	42	20	3	23	28	41	58	94	7	14	43	22	36	
412	276	306	1183	1023	293	365	128	56	127	402	297	211	38	289	263	234	597	576	191	96	360	274	312	
0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
455	302	343	1278	1173	328	391	141	63	137	432	339	231	41	312	291	275	655	670	198	110	401	296	348	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	2	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	
8	9	49	16	39	2	21	9	0	10	3	1	6	2	2	2	2	6	3	2	3	1	4	5	
5	3	6	21	39	3	10	4	0	9	3	2	1	0	2	4	6	2	4	1	2	3	2	4	
440	288	288	1228	1082	323	360	127	63	117	425	333	218	39	308	285	267	647	663	195	105	395	290	334	
1	1	0	1	4	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	2	
1	1	0	6	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	
0	0	0	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	
