"УИК №642"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	"УИК №683"	"УИК №684"	"УИК №685"	"УИК №686"	"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №3460"	"УИК №3461"	"УИК №3495"	"УИК №3496"	"УИК №3500"	"УИК №3501"	"УИК №3502"	"УИК №3503"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

15	27	5	23	44	4	14	5	10	19	14	11	5	6	2	5	11	11	58	4	8	37	5	8	80	8	11	6	12	6	8	12	12	4	14	6	14	59	23	4	22	21	21	7	8	29	7	11	2	15	7	10	3	4	15	9	11	3	8	27	12	49	27	44	9	21	6	50	3	10	5	15	9	7	5	9	4	11	16	8	11	28	14	35	14	9	25	5	8	11	1	36	70	18	12	12	23	5	9	12	12	2	9	24	22	28	4	98	0	3	0	2	10	8	0	1	11	52	63	8	
214	98	172	224	120	63	223	133	239	32	129	188	110	247	126	192	149	156	63	56	122	145	135	131	147	221	77	116	146	132	203	180	141	168	97	149	107	98	173	68	138	136	127	178	69	28	103	51	123	138	138	170	139	193	87	171	114	137	132	148	152	225	149	58	176	162	89	114	106	185	143	104	91	157	125	230	119	210	70	143	117	166	144	109	101	177	57	95	121	92	350	167	91	82	97	121	68	142	149	78	173	71	275	65	166	41	152	109	9	12	0	14	108	172	9	32	115	104	80	167	
62	76	65	108	56	33	71	42	71	90	107	63	54	17	25	71	123	141	69	9	62	83	51	109	92	73	53	33	85	50	53	95	91	43	47	106	48	99	112	24	54	32	79	69	51	93	75	81	28	116	83	88	60	92	45	85	32	56	183	163	149	81	71	93	49	43	101	95	51	47	50	209	102	72	39	72	45	93	102	59	53	132	72	97	86	110	24	56	46	90	101	94	42	57	19	18	70	19	74	29	34	27	111	25	128	69	56	87	2	45	1	18	92	109	4	12	90	65	68	108	
1120	997	1327	1328	1091	467	1038	748	871	695	981	1215	459	947	665	1462	974	1219	953	348	1067	1177	608	1032	1230	1269	961	1059	809	905	924	1010	929	751	614	1099	880	1520	1026	441	796	725	839	1148	719	738	699	762	656	1077	827	1039	836	938	623	945	575	1564	1045	1080	1147	1136	1195	804	834	895	836	1042	458	1004	840	1176	851	725	582	1062	926	1046	827	673	1173	1336	1129	1345	745	1495	609	633	603	1125	907	1366	871	694	813	545	907	957	1280	728	949	624	1462	649	976	906	854	1121	29	375	29	178	634	1138	77	149	1004	995	1248	1441	
12	35	16	18	12	3	23	9	19	21	27	15	10	16	4	21	29	14	72	5	54	18	17	47	18	11	7	5	92	15	44	27	10	12	8	17	15	44	8	4	11	3	13	27	12	12	12	11	14	29	13	8	12	15	28	19	4	12	6	18	39	9	5	17	12	31	8	70	12	14	5	29	23	11	15	19	10	20	23	11	25	51	21	62	22	37	17	24	4	20	12	12	12	9	15	21	12	7	26	15	14	5	24	8	17	16	17	8	1	14	0	6	15	14	1	0	18	26	60	16	
13	14	12	12	28	1	8	6	18	19	13	9	7	7	21	12	7	8	12	1	12	15	8	5	26	14	12	3	16	6	9	10	19	3	12	5	8	54	12	3	21	11	12	16	36	26	8	21	4	9	6	6	12	2	18	7	8	16	5	10	3	37	58	29	24	24	8	10	14	11	4	14	9	5	8	15	9	13	12	18	39	20	14	24	6	7	14	6	15	37	5	7	9	10	15	12	35	8	10	13	33	2	5	8	12	18	2	19	1	2	0	3	3	9	2	2	30	2	33	7	
15	19	11	14	67	1	9	5	10	15	13	11	2	6	11	15	14	9	25	1	6	18	9	11	23	10	13	5	5	6	23	4	11	3	4	26	8	60	13	0	16	18	23	6	26	37	12	11	4	21	18	6	7	5	9	12	9	2	11	4	27	9	3	25	11	31	9	10	8	11	4	63	11	5	3	16	2	7	23	13	41	23	10	65	7	58	12	5	5	13	4	3	9	21	16	8	23	6	18	16	8	2	16	18	39	49	3	11	0	6	0	3	5	10	0	2	7	43	57	3	
18	58	13	35	30	4	11	3	15	42	54	14	2	8	4	7	9	17	38	1	26	31	12	14	19	6	9	4	19	10	27	26	25	7	11	34	74	55	9	2	18	32	21	7	32	34	19	54	5	46	25	57	4	11	18	15	3	8	35	29	38	15	69	26	8	19	14	33	6	8	9	35	13	12	9	6	14	16	28	11	17	23	5	69	25	18	10	36	6	19	8	20	7	12	19	16	25	5	11	15	7	4	35	21	54	20	6	12	0	0	0	3	14	12	0	0	43	33	54	9	
