"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1098"	"УИК №1099"	
2161	1231	1654	1929	1641	1862	2614	1716	2641	2515	590	2124	1817	2159	148	634	157	249	625	308	1430	990	1559	1407	2034	932	1569	920	825	711	1679	152	206	261	330	926	1279	167	1990	
1950	1050	1500	1700	1550	1700	2400	1600	2550	2250	550	1950	1650	2200	125	630	143	250	600	320	1400	1016	1550	1300	1850	900	1550	900	850	720	1650	154	200	250	300	850	1150	170	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1681	940	1312	1471	1269	1366	2130	1244	2113	1443	429	1627	1254	1320	120	540	120	207	505	191	864	749	1027	853	1426	841	1195	694	663	357	1240	115	154	219	282	718	862	142	1961	
189	86	43	90	79	125	77	144	79	106	17	128	43	221	5	37	20	18	40	61	266	65	219	273	165	39	176	136	58	274	104	23	23	0	11	18	81	19	0	
80	24	145	139	202	209	193	212	358	701	104	195	353	659	0	53	3	25	55	68	270	202	304	174	259	20	179	70	129	89	306	16	23	31	7	114	207	9	39	
189	86	43	90	79	125	77	144	79	106	17	128	43	221	5	37	20	18	40	61	266	63	219	273	165	39	176	136	58	274	104	23	23	0	11	18	81	19	0	
1681	940	1312	1471	1269	1366	2130	1244	2113	1443	429	1627	1254	1320	120	540	120	207	505	191	864	749	1027	853	1426	841	1195	694	663	357	1240	115	154	219	282	718	862	142	1961	
11	28	7	9	16	26	19	16	19	20	6	17	19	12	0	7	0	2	0	0	16	13	12	11	20	10	14	6	13	5	19	0	1	2	2	9	11	0	0	
1859	998	1348	1552	1332	1465	2188	1372	2173	1529	440	1738	1278	1529	125	570	140	223	545	252	1114	799	1234	1115	1571	870	1357	824	708	626	1325	138	176	217	291	727	932	161	1961	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

15	7	15	17	10	13	19	13	23	8	4	11	10	6	1	1	2	2	3	2	6	7	3	12	9	7	10	1	3	2	5	0	2	1	2	7	3	0	2	
131	62	95	102	140	101	318	97	152	241	66	111	128	210	17	30	4	14	46	22	123	76	72	71	168	101	126	65	59	39	96	26	29	11	14	30	119	21	26	
53	59	80	105	73	88	95	98	161	115	31	91	97	104	7	41	7	18	30	18	76	56	104	74	85	51	92	55	55	56	112	4	9	11	19	45	57	10	19	
1598	840	1099	1259	1064	1186	1669	1110	1782	1096	325	1487	995	1153	97	493	126	181	456	205	882	638	1033	923	1271	689	1094	674	567	516	1076	107	132	192	252	627	724	125	1883	
13	10	17	10	16	14	27	12	14	24	4	5	17	16	2	4	0	3	2	0	9	6	6	10	15	6	8	11	9	7	11	0	1	2	2	3	15	4	14	
16	10	18	36	9	13	28	15	14	17	3	12	10	14	0	0	0	2	3	1	2	7	11	11	11	7	14	7	10	2	15	0	1	0	2	4	8	0	9	
11	9	17	14	6	16	18	13	12	11	4	12	12	18	0	1	1	1	3	3	5	7	2	13	9	7	8	8	2	3	5	0	2	0	0	3	3	1	3	
22	1	7	9	14	34	14	14	15	17	3	9	9	8	1	0	0	2	2	1	11	2	3	1	3	2	5	3	3	1	5	1	0	0	0	8	3	0	5	
