"УИК №995"	"УИК №996"	"УИК №997"	"УИК №998"	"УИК №999"	"УИК №1000"	"УИК №1001"	"УИК №1002"	"УИК №1003"	"УИК №1004"	"УИК №1005"	"УИК №1006"	"УИК №1007"	"УИК №1008"	"УИК №1009"	"УИК №1010"	"УИК №1011"	"УИК №1012"	"УИК №1013"	"УИК №1014"	"УИК №1015"	"УИК №1016"	"УИК №1017"	"УИК №1018"	"УИК №1019"	"УИК №1020"	"УИК №1021"	"УИК №1022"	"УИК №1023"	"УИК №1024"	"УИК №1025"	"УИК №1026"	"УИК №1027"	"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1035"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	"УИК №1041"	"УИК №1042"	"УИК №1043"	"УИК №1044"	"УИК №1045"	"УИК №1046"	"УИК №1047"	"УИК №1048"	"УИК №1049"	"УИК №1050"	"УИК №1051"	"УИК №1052"	"УИК №1053"	"УИК №1054"	"УИК №1055"	"УИК №1056"	"УИК №1057"	"УИК №1058"	"УИК №1059"	"УИК №1060"	"УИК №1061"	"УИК №1062"	"УИК №1063"	"УИК №1064"	"УИК №1065"	"УИК №1066"	"УИК №1067"	"УИК №1068"	"УИК №1069"	"УИК №1070"	"УИК №1071"	"УИК №1072"	"УИК №1073"	"УИК №1074"	
2454	998	1564	1951	1896	1029	2411	852	435	136	959	157	375	115	395	674	318	399	78	82	157	344	209	117	554	212	121	501	395	279	505	632	604	321	608	259	165	287	327	245	331	1085	1053	282	301	435	194	217	596	303	376	838	547	298	196	135	674	102	419	206	114	1992	216	204	292	150	286	640	180	263	1460	100	152	269	145	136	298	372	88	345	
2400	980	1500	1850	1850	1000	2400	830	430	135	970	160	370	119	405	680	330	400	77	84	150	340	205	115	550	210	118	580	395	275	500	630	600	335	610	255	160	275	315	245	325	1090	1030	280	300	430	210	210	620	300	370	830	540	330	200	130	670	100	420	200	110	1950	210	205	290	149	280	640	180	265	1450	104	150	250	140	140	295	370	84	340	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1471	652	1004	1138	1151	735	1698	453	345	115	680	143	286	111	303	598	265	308	62	68	129	303	175	100	455	197	109	489	355	249	406	482	486	274	474	235	140	257	282	223	289	911	871	222	240	375	162	183	478	264	340	640	439	284	173	127	563	86	353	151	108	1586	178	175	253	136	225	540	149	225	1115	78	119	226	108	119	234	284	72	285	
104	17	56	179	53	24	67	29	28	6	39	3	14	0	14	38	15	15	3	5	4	13	12	6	38	0	1	12	13	11	43	43	28	11	39	9	5	7	9	11	15	36	25	14	14	21	14	7	30	13	18	70	67	14	7	0	31	6	2	12	2	77	8	4	6	5	20	11	15	12	74	4	14	11	16	4	14	17	3	14	
825	311	440	533	646	241	635	348	57	14	251	14	70	8	88	44	50	77	12	11	17	24	18	9	57	13	8	79	27	15	51	105	86	50	97	11	15	11	24	11	21	143	134	44	46	34	34	20	112	23	12	120	34	32	20	3	76	8	65	37	0	287	24	26	31	8	35	89	16	28	261	22	17	13	16	17	47	69	9	41	
104	17	56	179	53	24	67	29	28	6	39	3	14	0	14	38	15	15	3	5	4	13	12	6	38	0	1	12	13	11	43	43	28	11	39	9	5	7	9	11	15	36	25	14	14	21	14	7	30	13	18	70	67	14	7	0	31	6	2	12	2	77	8	4	6	5	20	11	15	12	74	4	14	11	16	4	14	17	3	14	
1471	652	1004	1138	1151	735	1698	453	345	115	680	143	286	111	303	598	265	308	62	68	129	303	175	100	455	197	109	489	355	249	406	482	486	274	474	235	140	257	282	223	289	911	871	222	240	375	162	183	478	264	340	640	439	284	173	127	563	86	353	151	108	1586	178	175	253	136	225	540	149	225	1115	78	119	226	108	119	234	284	72	285	
2	7	24	20	14	4	28	11	2	0	0	0	8	0	0	3	0	2	0	0	2	0	0	0	0	3	0	0	0	0	0	0	5	0	2	0	2	2	0	3	4	9	18	3	2	0	0	3	0	0	0	10	0	1	3	0	11	0	8	0	0	7	0	0	2	0	5	6	1	0	20	1	0	0	0	0	3	0	0	0	
1573	662	1036	1297	1190	755	1737	471	371	121	719	146	292	111	317	633	280	321	65	73	131	316	187	106	493	194	110	501	368	260	449	525	509	285	511	244	143	262	291	231	300	938	878	233	252	396	176	187	508	277	358	700	506	297	177	127	583	92	347	163	110	1656	186	179	257	141	240	545	163	237	1169	81	133	237	124	123	245	301	75	299	
