"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №3659"	"УИК №3793"	
2582	2215	2136	2266	2552	2110	2089	2018	2436	2596	2566	2603	2494	2749	2515	2495	2556	2226	2741	2979	2552	2337	791	148	
1910	1670	1680	1665	2175	1600	1580	1500	1800	1930	1930	1930	1860	2000	1880	1900	1880	1640	1960	2220	1940	1770	1000	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1571	1204	1219	1221	1466	1144	1150	1145	1361	1519	1495	1521	1457	1649	1422	1504	1451	1276	1684	1648	1469	1268	736	147	
42	60	51	52	69	59	57	39	74	56	35	48	51	50	92	44	54	46	47	53	48	46	30	0	
297	406	410	392	640	397	373	316	365	355	400	361	352	301	366	352	375	318	229	519	423	456	234	853	
42	60	51	52	69	59	57	39	74	56	35	48	51	50	92	44	54	46	47	53	48	46	30	0	
1570	1203	1217	1219	1462	1141	1150	1145	1356	1519	1495	1518	1457	1646	1413	1503	1450	1274	1684	1647	1467	1268	736	147	
25	15	21	18	24	16	23	33	18	15	27	19	25	21	15	21	15	13	20	15	33	22	18	0	
1587	1248	1247	1253	1507	1184	1184	1151	1412	1560	1503	1547	1483	1675	1490	1526	1489	1307	1711	1685	1482	1292	748	147	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

19	10	10	12	17	13	12	13	7	13	17	18	18	10	19	13	14	10	23	28	9	12	10	0	
207	155	138	150	179	157	118	158	159	173	169	196	196	211	165	177	155	175	212	207	155	121	83	17	
84	52	52	58	76	74	77	85	68	79	84	57	62	79	82	86	77	61	91	76	72	72	37	8	
1096	896	921	900	1104	832	884	812	1035	1169	1103	1128	1067	1183	1094	1114	1120	962	1265	1209	1105	960	586	115	
70	51	51	63	55	47	33	34	53	48	56	55	48	81	52	58	55	41	45	63	58	51	12	5	
13	9	11	9	4	10	10	11	15	10	10	9	15	11	8	12	14	5	14	12	12	8	3	0	
26	19	24	18	22	11	15	14	29	22	25	19	22	37	21	23	15	17	18	16	31	31	4	1	
72	56	40	43	50	40	35	24	46	46	39	65	55	63	49	43	39	36	43	74	40	37	13	1	
