"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	
580	1011	1005	1135	1261	599	534	1183	506	1251	616	488	145	304	251	541	155	205	148	239	215	129	84	473	245	171	281	78	143	94	212	165	109	
583	1015	1010	1130	1250	600	530	1170	505	1230	610	490	148	306	255	541	153	207	148	238	215	132	86	475	246	172	282	78	142	95	215	164	108	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
415	633	766	948	1067	530	376	644	415	653	536	309	118	250	140	358	88	80	114	149	149	83	59	388	167	150	195	68	122	72	130	106	86	
92	202	122	103	99	47	95	294	56	243	36	36	15	38	55	130	41	59	16	79	47	38	3	49	53	9	38	8	14	13	55	31	13	
76	180	122	79	84	23	59	232	34	334	38	145	15	18	60	53	24	68	18	10	19	11	24	38	26	13	49	2	6	10	30	27	9	
92	202	122	103	99	47	95	294	56	243	36	36	15	38	55	130	41	59	16	79	47	38	3	49	53	9	38	8	14	13	55	31	13	
415	633	766	948	1067	530	376	644	415	653	536	309	118	250	140	358	88	80	114	149	149	83	59	388	167	150	195	68	122	72	130	106	86	
4	0	0	6	0	0	0	0	1	12	3	7	0	0	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	
503	835	888	1045	1166	577	471	938	470	884	569	338	133	288	192	485	129	139	130	228	195	121	62	437	220	159	233	76	136	84	185	137	96	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	12	2	2	0	1	1	5	1	1	3	5	1	0	0	5	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	
49	36	61	131	48	61	44	97	21	131	41	74	8	25	22	28	3	41	19	18	31	19	1	30	28	26	59	4	35	8	12	12	8	
21	16	11	36	69	16	15	73	12	43	18	25	7	3	4	13	6	10	4	11	22	7	9	5	15	9	9	1	5	8	7	6	2	
425	753	803	868	1049	495	405	750	434	700	500	227	110	260	166	438	117	86	107	194	137	94	50	394	170	122	158	69	96	67	163	118	86	
0	3	2	4	0	1	3	3	1	3	0	6	1	0	0	0	0	1	0	0	2	0	0	1	3	0	2	0	0	0	0	0	0	
4	0	3	2	0	1	3	7	1	2	2	0	4	0	0	1	3	1	0	5	1	1	2	5	2	1	2	1	0	0	1	0	0	
1	3	3	1	0	1	0	1	0	4	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	
0	12	3	1	0	1	0	2	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	
