"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	
943	1044	1298	1071	1191	1199	1039	1100	1420	1271	1269	1056	1180	1325	932	370	217	188	197	283	179	165	292	539	530	431	229	376	749	456	245	148	
885	1073	1340	1108	1214	1150	1064	1125	1435	1306	1298	1090	1184	1368	943	384	233	187	191	275	175	156	284	544	548	424	228	367	758	443	240	139	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
387	507	546	658	616	538	556	553	646	515	517	582	649	619	523	218	132	138	97	129	106	95	180	238	333	220	132	234	585	222	131	90	
135	89	143	22	40	163	50	58	154	166	148	53	35	87	54	17	42	28	59	72	24	45	50	91	107	133	59	75	100	74	65	21	
363	477	651	428	558	449	458	514	635	625	633	455	500	662	366	149	59	21	35	74	45	16	54	215	108	71	37	58	73	147	44	28	
135	89	143	22	40	163	50	58	154	166	148	53	35	87	54	17	42	28	59	72	24	45	50	91	107	133	59	75	100	74	65	21	
387	507	546	658	616	538	556	553	646	515	517	582	649	619	523	218	132	138	97	129	106	95	180	238	333	220	132	234	585	222	131	90	
3	2	6	7	15	49	10	5	8	1	5	7	9	7	14	1	0	0	0	5	0	0	0	1	3	0	0	4	3	2	0	0	
519	594	683	673	641	652	596	606	792	680	660	628	675	699	563	234	174	166	156	196	130	140	230	328	437	353	191	305	682	294	196	111	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	2	2	4	2	3	5	4	4	2	5	3	4	6	2	2	0	0	0	3	0	0	3	3	4	1	2	1	0	2	0	0	
31	52	63	68	68	21	67	57	80	67	42	61	72	67	58	24	5	29	11	14	12	2	6	23	12	11	7	11	39	28	11	9	
40	52	50	44	49	51	35	41	53	40	58	46	35	42	49	16	7	3	12	18	11	14	11	25	15	14	5	10	58	15	14	18	
432	468	560	536	509	560	474	486	632	558	544	501	544	565	443	187	161	131	129	155	103	123	206	271	402	324	175	281	580	246	168	84	
6	7	3	10	6	9	7	4	5	3	7	3	10	7	6	1	1	0	0	2	2	0	2	1	2	1	1	2	4	1	0	0	
2	5	1	5	3	4	4	3	6	6	0	6	9	4	4	1	0	2	4	3	1	1	2	3	0	2	0	0	1	0	1	0	
2	5	3	5	4	2	1	10	4	1	2	6	0	7	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	2	1	0	
2	3	1	1	0	2	3	1	8	3	2	2	1	1	1	2	0	0	0	0	1	0	0	2	0	0	1	0	0	0	1	0	
