"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	
629	591	668	346	699	599	596	475	769	751	121	164	303	512	216	261	457	171	153	312	239	301	
600	600	650	360	700	600	600	475	760	750	123	165	307	490	220	277	450	175	163	315	239	308	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
286	363	359	205	390	338	357	302	401	367	79	95	227	296	128	150	262	71	86	168	114	138	
63	17	34	29	40	49	9	12	38	46	11	28	35	63	15	7	73	41	30	58	36	72	
251	220	257	126	270	213	234	161	321	337	33	42	45	131	77	120	115	63	47	89	89	98	
63	17	34	29	40	49	9	12	38	46	11	28	35	63	15	7	73	41	30	58	36	72	
286	363	359	205	390	338	357	302	401	367	79	95	227	296	128	150	262	71	86	168	114	138	
4	0	4	3	3	3	1	1	6	1	0	0	0	4	0	5	3	1	0	0	3	0	
345	380	389	231	427	384	365	313	433	412	90	123	262	355	143	152	332	111	116	226	147	210	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	7	1	1	4	4	1	4	3	1	1	0	2	1	0	1	2	1	1	0	1	0	
30	24	29	22	35	40	35	26	37	29	8	15	9	28	11	8	20	8	9	14	8	13	
29	28	36	22	30	19	23	17	39	30	9	5	10	32	7	17	32	9	2	18	1	15	
277	315	317	179	347	312	290	261	344	339	72	100	238	287	122	125	271	91	104	192	133	179	
1	3	1	2	5	5	6	3	2	1	0	3	2	1	1	0	4	1	0	0	0	1	
1	3	2	3	2	3	5	1	2	8	0	0	0	2	2	1	1	0	0	0	2	1	
4	0	3	2	3	1	1	1	3	2	0	0	1	3	0	0	0	0	0	1	2	1	
1	0	0	0	1	0	4	0	3	2	0	0	0	1	0	0	2	1	0	1	0	0	
