"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №418"	"УИК №419"	"УИК №420"	
320	137	115	235	1141	1197	146	271	152	
330	140	110	260	1180	1240	150	280	160	
0	0	0	0	0	0	0	0	0	
189	84	66	110	636	685	79	123	89	
18	13	8	32	91	57	20	27	19	
123	43	36	118	453	498	51	130	52	
18	13	8	32	91	57	20	27	19	
189	84	66	110	636	685	79	123	89	
0	0	0	1	9	9	0	1	0	
207	97	74	141	718	733	99	149	108	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

1	1	0	0	7	6	0	2	0	
17	13	15	11	158	177	11	23	14	
26	17	6	15	83	109	7	21	11	
160	65	51	113	448	424	81	100	81	
1	1	0	1	6	6	0	1	2	
0	0	2	1	6	4	0	1	0	
1	0	0	0	7	5	0	0	0	
1	0	0	0	3	2	0	1	0	
