"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	
228	304	263	370	277	272	642	547	1999	2735	2001	
215	308	263	364	276	275	615	522	1985	2593	1921	
0	0	0	0	0	0	0	0	0	0	0	
113	130	114	168	129	155	353	231	1007	1340	958	
34	70	49	69	29	46	75	141	57	53	68	
68	108	100	127	118	74	187	150	921	1200	895	
34	70	49	69	29	46	75	141	57	53	68	
113	130	114	168	129	155	353	231	1007	1340	958	
3	0	0	1	2	2	5	2	11	21	11	
144	200	163	236	156	199	423	370	1053	1372	1015	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

0	1	4	1	0	0	0	1	8	7	2	
14	16	14	27	8	17	30	25	154	204	111	
9	14	14	31	21	26	33	33	101	132	93	
121	166	130	175	125	155	349	306	762	992	789	
0	1	0	1	1	1	2	1	12	16	9	
0	1	1	1	1	0	3	2	6	9	3	
0	1	0	0	0	0	4	1	7	9	4	
0	0	0	0	0	0	2	1	3	3	4	
