"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №721"	"УИК №722"	"УИК №723"	
1752	1141	1595	1775	1677	243	361	659	143	758	96	291	294	175	538	405	521	234	330	901	283	708	628	398	126	
1500	1000	1400	1500	1400	200	300	600	150	700	100	250	250	200	400	400	450	200	300	800	250	600	600	400	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1091	727	989	1077	969	183	263	414	106	411	66	195	174	118	320	283	382	160	260	539	163	426	359	237	80	
66	38	71	108	64	12	11	59	21	33	5	22	17	13	35	22	21	11	18	68	47	30	41	32	4	
343	235	340	315	367	5	26	127	23	256	29	33	59	69	45	95	47	29	22	193	40	144	200	131	16	
66	38	71	108	64	12	11	59	21	33	5	22	17	13	35	22	21	11	18	68	47	30	41	32	4	
1091	727	988	1077	969	183	263	414	106	411	66	195	174	118	320	283	382	160	260	539	163	426	359	237	80	
13	6	19	10	23	0	5	5	1	5	0	3	4	0	4	3	7	3	6	6	0	6	5	3	0	
1144	759	1040	1175	1010	195	269	468	126	439	71	214	187	131	351	302	396	168	272	601	210	450	395	266	84	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	6	9	14	5	0	2	1	0	0	1	0	0	1	4	0	2	1	0	4	4	1	3	0	1	
245	164	198	248	196	42	33	72	16	78	17	45	16	33	83	64	78	8	20	82	16	78	51	13	11	
91	53	63	70	98	16	20	47	14	25	11	9	28	14	29	38	38	19	15	35	17	29	24	21	8	
764	514	744	804	681	136	209	344	93	324	41	159	140	79	232	195	272	136	233	467	168	332	312	229	61	
11	10	9	21	10	0	5	3	1	5	0	1	1	1	1	0	3	3	1	5	3	7	1	1	0	
11	8	6	4	7	0	0	1	0	3	0	0	2	0	0	3	2	0	1	2	1	1	2	1	3	
7	3	7	6	9	1	0	0	1	2	1	0	0	1	2	1	1	1	1	4	0	1	1	0	0	
6	1	4	8	4	0	0	0	1	2	0	0	0	2	0	1	0	0	1	2	1	1	1	1	0	
