"УИК №582"	"УИК №583"	"УИК №584"	"УИК №585"	"УИК №586"	"УИК №587"	"УИК №588"	"УИК №589"	"УИК №590"	"УИК №591"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	
194	247	287	1611	1289	475	1171	1315	1547	513	217	208	872	283	488	400	566	394	329	1583	368	435	200	473	647	750	834	612	375	474	996	295	541	214	455	
180	230	260	1600	1350	500	1220	1380	1500	510	220	210	850	280	490	410	550	360	290	1730	380	420	190	490	640	790	740	650	360	480	1020	280	550	210	470	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
139	95	180	1013	557	373	572	850	940	377	103	51	340	109	184	124	362	181	140	875	211	95	107	357	444	437	555	363	132	268	665	196	255	142	247	
41	59	80	145	371	30	391	172	263	59	74	76	242	128	164	186	92	84	79	254	111	239	50	37	76	190	42	131	116	74	207	68	110	46	108	
0	76	0	442	422	97	257	358	297	74	43	83	268	43	142	100	96	95	71	601	58	86	33	96	120	163	143	156	112	138	148	16	185	22	115	
41	59	80	145	371	30	391	172	263	59	74	76	242	128	164	186	92	84	79	254	111	239	50	37	76	190	42	131	116	74	207	68	110	46	108	
139	95	180	1013	557	373	572	850	940	376	103	51	340	109	184	124	362	181	140	875	211	95	107	357	444	437	555	363	132	268	665	196	255	142	247	
0	0	8	12	10	0	1	5	35	2	2	0	2	0	7	0	4	0	0	18	3	0	0	4	4	8	5	1	2	1	5	1	3	0	3	
180	154	252	1146	918	403	962	1017	1168	433	175	127	580	237	341	310	450	265	219	1111	319	334	157	390	516	619	592	493	246	341	867	263	362	188	352	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	0	0	14	6	1	0	6	9	5	2	0	1	0	3	0	1	2	2	4	2	2	0	2	2	1	1	1	1	3	3	0	2	1	2	
20	23	10	112	82	20	96	167	162	42	10	31	112	25	36	17	23	16	22	123	20	18	11	35	31	54	84	29	28	49	92	9	37	10	32	
7	14	7	82	66	12	57	74	83	16	14	14	31	4	35	9	9	4	6	63	9	24	4	32	12	26	54	31	18	23	43	9	21	2	18	
152	116	234	913	734	367	796	748	882	366	145	81	423	206	260	282	415	239	188	899	278	287	140	317	468	530	427	428	198	262	720	243	294	173	274	
0	0	0	5	6	2	8	12	9	1	3	0	6	1	2	1	1	3	1	6	2	1	2	3	1	7	13	2	0	1	1	1	0	2	15	
0	0	0	10	8	1	2	6	4	3	0	1	4	1	1	1	0	1	0	11	4	1	0	1	1	0	6	0	0	2	3	1	2	0	4	
0	0	1	5	4	0	3	2	16	0	1	0	1	0	4	0	0	0	0	0	0	1	0	0	0	1	5	0	1	1	1	0	5	0	6	
0	1	0	5	12	0	0	2	3	0	0	0	2	0	0	0	1	0	0	5	4	0	0	0	1	0	2	2	0	0	4	0	1	0	1	
