"УИК №1501"	"УИК №1502"	"УИК №1503"	"УИК №1504"	"УИК №1505"	"УИК №1506"	"УИК №1507"	"УИК №1508"	"УИК №1509"	"УИК №1510"	"УИК №1511"	"УИК №1512"	"УИК №1513"	"УИК №1514"	
863	438	176	579	1206	125	328	287	507	590	1388	1650	300	739	
895	458	185	599	1259	128	340	304	514	601	1434	1693	307	752	
0	0	43	102	33	0	0	85	0	44	0	0	53	0	
674	372	129	407	852	99	268	187	428	506	998	1456	240	635	
164	44	1	47	124	16	40	4	64	33	236	81	3	81	
57	42	12	43	250	13	32	28	22	18	200	156	11	36	
164	44	44	149	157	16	40	89	64	77	236	81	56	81	
674	372	129	407	852	99	268	187	428	506	998	1456	240	635	
1	0	0	2	2	0	1	1	1	3	3	1	0	2	
837	416	173	554	1007	115	307	275	491	580	1231	1536	296	714	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	0	1	2	1	1	1	1	1	1	1	1	1	
11	14	3	15	82	3	10	4	1	12	42	55	3	17	
10	15	2	17	7	3	2	2	14	8	48	61	3	23	
811	387	168	512	910	106	293	266	474	557	1135	1415	285	668	
1	0	0	3	3	0	1	1	1	1	1	1	1	3	
0	0	0	3	1	1	0	1	0	1	2	1	1	1	
1	0	0	1	1	1	0	0	0	0	2	1	1	0	
1	0	0	2	1	0	0	0	0	0	0	1	1	1	
