"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1407"	"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	"УИК №1412"	"УИК №1413"	"УИК №1414"	"УИК №1415"	"УИК №1416"	"УИК №1417"	"УИК №1418"	"УИК №1419"	"УИК №1420"	"УИК №1421"	"УИК №1422"	"УИК №1423"	"УИК №1424"	"УИК №1425"	"УИК №1426"	"УИК №1427"	"УИК №1428"	"УИК №1429"	"УИК №1430"	"УИК №1431"	"УИК №1432"	"УИК №1433"	"УИК №1434"	"УИК №1435"	"УИК №1436"	"УИК №1437"	"УИК №1438"	"УИК №1439"	"УИК №1440"	"УИК №1441"	"УИК №1442"	"УИК №1443"	"УИК №1444"	"УИК №1445"	"УИК №1446"	"УИК №1447"	"УИК №1448"	
1045	605	1456	1356	1136	1615	1249	955	1462	851	544	1289	747	576	211	475	684	709	333	115	174	356	193	100	102	215	79	484	105	217	238	254	68	360	1083	607	354	339	394	82	871	200	202	196	164	274	318	238	
1000	550	1400	1300	1000	1500	1200	900	1400	850	550	1250	750	550	200	450	650	690	350	132	170	360	200	104	100	230	78	480	120	250	250	250	69	350	1150	650	360	350	400	104	900	215	200	200	168	280	330	231	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
579	441	742	841	688	891	760	572	844	530	355	719	377	305	123	251	469	516	218	59	118	285	130	67	80	175	69	335	77	114	174	163	33	257	778	482	268	185	257	58	671	127	123	141	111	228	242	180	
53	52	125	55	114	178	81	60	64	24	45	64	47	42	29	74	68	15	34	34	43	41	34	17	18	27	0	75	20	58	45	46	14	40	151	81	56	97	78	14	106	36	53	28	22	46	46	42	
368	57	533	404	198	431	359	268	492	296	150	467	326	203	48	125	113	159	98	39	9	34	36	20	2	28	9	70	23	78	31	41	22	53	221	87	36	68	65	32	123	52	24	31	35	6	42	9	
53	52	125	55	114	178	81	60	64	24	45	64	47	42	29	74	68	15	34	34	43	41	34	17	18	27	0	75	20	58	45	46	14	40	151	81	56	97	78	14	106	36	53	28	22	46	46	42	
579	441	742	840	688	891	760	572	844	530	355	719	377	305	123	251	469	516	218	59	118	285	130	67	80	175	69	335	77	114	174	163	33	257	778	482	268	185	257	58	671	127	123	141	111	228	242	180	
3	6	11	11	12	10	13	5	8	6	2	5	10	6	1	1	0	6	1	0	1	8	1	0	0	0	0	2	0	0	4	2	0	4	68	6	18	3	3	0	43	1	2	0	0	6	0	7	
629	487	856	884	790	1059	828	627	900	548	398	778	414	341	151	324	537	525	251	93	160	318	163	84	98	202	69	408	97	172	215	207	47	293	861	557	306	279	332	72	734	162	174	169	133	268	288	215	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	3	4	8	8	6	2	6	7	0	2	1	0	0	0	1	4	1	2	1	1	0	0	1	1	0	0	0	0	2	0	1	1	4	2	3	0	0	0	4	2	1	0	0	1	1	1	
108	62	157	162	136	212	144	107	131	90	91	156	65	59	22	36	45	104	43	11	1	21	9	2	5	13	4	64	8	14	22	28	2	18	52	41	23	31	22	9	97	44	11	13	15	30	36	10	
38	20	72	63	44	73	52	38	58	32	21	38	44	21	13	37	44	72	21	5	4	13	14	2	6	9	0	15	2	1	3	8	3	17	58	27	23	21	13	2	42	5	7	3	9	6	20	7	
465	398	609	640	582	746	601	469	682	407	281	564	294	252	113	246	437	336	184	74	150	275	138	80	80	177	63	323	87	156	186	169	40	255	735	479	253	222	294	61	583	110	152	153	109	229	228	194	
3	3	5	2	6	8	10	4	3	4	1	6	4	3	2	3	0	4	1	0	0	2	0	0	5	0	0	3	0	0	0	1	0	1	4	4	2	0	2	0	1	1	2	0	0	1	1	0	
8	1	6	5	9	5	5	1	13	6	2	7	2	1	0	0	4	2	1	1	2	1	1	0	1	2	2	2	0	1	0	1	0	1	5	1	1	2	0	0	7	0	0	0	0	1	0	3	
2	0	3	4	4	4	5	4	4	1	2	3	3	1	1	1	4	3	0	0	2	3	0	0	0	0	0	1	0	0	2	0	0	0	2	3	1	3	0	0	0	0	1	0	0	0	2	0	
3	2	1	4	1	3	5	2	3	1	0	2	1	4	0	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	
