"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	
1411	1176	209	68	290	83	116	217	117	156	
1480	1240	220	70	300	90	130	230	120	170	
0	0	0	0	0	0	0	0	0	0	
802	592	106	26	157	37	58	131	64	105	
57	58	20	14	27	10	9	30	10	11	
621	590	94	30	116	43	63	69	46	54	
57	58	20	14	27	10	9	30	10	11	
802	592	106	26	157	37	58	131	64	105	
10	14	3	0	1	0	1	1	0	2	
849	636	123	40	183	47	66	160	74	114	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

9	8	1	0	0	0	0	2	1	0	
236	156	30	6	30	5	16	15	15	7	
89	64	11	3	24	12	7	24	7	24	
489	388	77	31	125	30	42	115	46	82	
7	6	3	0	2	0	0	1	2	1	
9	8	0	0	1	0	0	3	1	0	
5	4	1	0	1	0	0	0	2	0	
5	2	0	0	0	0	1	0	0	0	
