"УИК №421"	"УИК №422"	"УИК №423"	"УИК №424"	"УИК №425"	"УИК №426"	"УИК №427"	"УИК №428"	"УИК №429"	"УИК №430"	"УИК №431"	"УИК №432"	"УИК №433"	"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	
1814	1702	2296	1872	161	161	448	201	325	557	410	337	441	94	1045	459	223	358	358	73	1317	562	197	892	800	109	566	192	
1860	1735	2380	1910	150	160	455	215	325	570	425	345	460	90	1100	465	220	360	385	70	1380	580	205	940	850	115	590	210	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	
887	968	985	1046	68	70	168	64	142	237	121	126	213	44	346	182	90	182	126	35	541	259	44	270	278	45	189	76	
64	26	29	29	7	11	19	0	13	24	12	1	10	4	48	16	13	20	12	6	30	15	17	20	10	13	28	29	
909	741	1366	835	75	79	268	151	170	309	292	218	237	42	706	267	117	158	247	29	809	306	134	650	562	57	373	105	
64	26	29	29	7	11	19	0	13	24	12	1	10	4	48	16	13	20	12	6	30	15	27	20	10	13	28	29	
886	967	985	1043	68	70	168	64	142	237	121	126	213	44	345	182	90	182	126	35	541	259	44	269	278	45	189	76	
14	15	9	10	0	3	2	0	1	6	4	2	1	0	5	2	0	0	0	0	8	2	0	2	6	0	3	0	
936	978	1005	1062	75	78	185	64	154	255	129	125	222	48	388	196	103	202	138	41	563	272	71	287	282	58	214	105	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	11	6	5	0	3	1	0	1	2	0	4	0	0	7	2	0	2	0	0	5	4	0	1	1	1	2	0	
101	109	137	126	3	18	9	1	9	24	11	16	16	2	45	17	8	13	4	0	30	22	0	27	27	2	17	12	
95	91	115	97	7	10	11	3	9	25	10	7	15	5	30	14	7	13	2	4	69	28	0	16	19	3	20	8	
701	713	705	781	65	42	162	57	135	199	103	98	184	41	300	159	85	172	130	37	423	210	68	233	227	52	169	83	
9	15	15	19	0	3	0	3	0	3	2	0	3	0	1	1	1	1	1	0	11	4	0	4	1	0	3	0	
8	12	9	8	0	2	1	0	0	1	2	0	4	0	1	0	0	1	1	0	2	1	3	2	4	0	1	2	
7	19	9	7	0	0	1	0	0	1	0	0	0	0	2	2	0	0	0	0	8	2	0	3	0	0	0	0	
9	8	9	19	0	0	0	0	0	0	1	0	0	0	2	1	2	0	0	0	15	1	0	1	3	0	2	0	
