"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	
736	934	1028	1696	1023	195	86	348	591	106	553	642	907	124	98	87	
700	900	1000	1600	1000	200	100	400	900	100	600	700	1000	110	100	90	
0	0	0	0	0	0	0	0	188	0	45	0	0	0	0	0	
385	539	623	949	550	141	52	230	257	70	321	378	576	90	72	64	
39	25	29	38	44	1	11	12	5	4	25	31	35	5	0	6	
276	336	348	613	406	58	37	158	450	26	209	291	389	15	28	20	
39	25	29	38	44	1	11	12	193	4	70	31	35	5	0	6	
385	539	623	949	550	141	52	229	257	70	321	378	576	90	72	64	
3	9	6	13	12	1	0	2	4	1	2	1	3	0	0	0	
421	555	646	974	582	141	63	239	446	73	389	408	608	95	72	70	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	2	3	3	0	1	1	1	0	0	0	2	2	0	0	
70	144	167	206	103	24	12	89	74	7	23	192	215	19	30	9	
36	26	22	60	70	3	0	4	63	7	14	2	2	0	0	1	
305	365	433	692	396	112	49	144	299	59	339	206	380	74	42	59	
2	10	11	5	2	0	1	0	4	0	8	6	7	0	0	1	
4	3	5	2	4	1	0	0	0	0	3	1	2	0	0	0	
1	3	3	3	3	1	0	1	3	0	1	1	0	0	0	0	
2	2	3	3	1	0	0	0	2	0	1	0	0	0	0	0	
