"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №825"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	"УИК №842"	"УИК №843"	"УИК №844"	"УИК №845"	"УИК №846"	"УИК №847"	"УИК №848"	"УИК №849"	"УИК №850"	"УИК №851"	"УИК №852"	
417	431	243	448	331	622	598	605	632	970	672	154	319	292	208	307	305	259	1177	361	151	945	181	381	1060	275	109	430	394	1256	1392	1342	1126	897	720	1008	1282	1072	764	845	1418	1087	1429	983	
414	438	232	421	325	637	610	608	636	986	656	172	311	329	202	285	316	251	1123	348	143	1030	175	390	1042	266	110	431	399	1277	1471	1422	1173	899	694	1055	1363	1134	760	869	1351	1136	1451	1036	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
226	236	152	312	239	466	439	497	481	557	458	110	218	200	140	220	212	219	931	260	122	473	145	259	813	215	84	303	292	860	880	930	776	555	604	730	883	728	557	536	945	737	980	629	
164	163	74	95	64	106	113	54	107	156	161	31	87	92	53	62	69	21	158	77	21	320	27	111	179	46	21	93	63	112	252	123	125	184	59	108	183	162	157	153	119	195	143	262	
24	39	6	14	22	65	58	57	48	273	37	31	6	37	9	3	35	11	34	11	0	237	3	20	50	5	5	35	44	305	339	369	272	160	31	217	297	244	46	180	287	204	328	145	
164	163	74	95	64	106	113	54	107	156	161	31	87	92	53	62	69	21	158	77	21	320	27	111	179	46	21	93	63	112	252	123	125	184	59	108	183	162	157	153	119	195	143	262	
226	236	152	312	239	466	439	497	481	557	458	110	218	200	140	220	212	219	931	260	122	473	145	259	813	215	84	303	291	860	880	930	776	555	603	730	883	728	557	536	945	737	980	629	
2	3	0	4	0	1	2	1	2	9	0	0	0	0	0	4	0	0	10	1	0	7	0	2	0	1	0	4	3	14	8	3	8	7	3	0	0	12	3	9	15	5	7	0	
388	396	226	403	303	571	550	550	586	704	619	141	305	292	193	278	281	240	1079	336	143	786	172	368	992	260	105	392	351	958	1124	1050	893	732	659	838	1066	878	711	680	1049	927	1116	891	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	3	4	0	5	0	2	4	5	1	0	1	0	0	0	2	0	3	2	2	4	0	0	2	3	1	1	2	3	2	4	5	4	1	1	2	3	5	2	6	4	6	3	
50	26	8	27	18	42	25	43	31	80	21	7	37	39	11	11	18	13	64	22	7	20	9	12	69	13	3	39	27	124	51	92	66	45	62	34	34	66	58	60	92	53	82	71	
18	16	8	26	12	32	38	23	35	41	28	8	3	10	6	5	15	9	44	21	10	19	9	10	45	5	4	12	5	64	56	27	44	35	41	10	7	32	19	45	56	33	60	36	
317	352	205	340	267	486	475	473	507	560	564	121	261	243	172	260	244	216	956	287	124	733	152	338	863	235	97	333	311	752	1003	910	766	637	535	788	1012	766	619	558	885	823	952	774	
2	0	0	1	2	3	4	3	3	5	1	2	0	0	3	1	0	0	4	2	0	3	0	5	7	1	0	2	3	7	5	3	4	3	9	1	2	2	6	6	3	3	0	4	
1	1	1	1	2	2	4	4	2	6	4	1	1	0	0	1	1	0	7	1	0	4	2	1	2	0	0	3	2	2	2	7	5	5	4	2	7	4	2	5	3	5	5	3	
0	0	1	4	2	1	4	0	0	3	0	0	1	0	0	0	1	2	1	0	0	2	0	1	4	2	0	2	0	6	1	7	2	0	2	1	2	4	2	3	3	3	5	0	
0	0	0	0	0	0	0	2	4	4	0	2	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	4	0	1	3	5	1	0	1	0	1	1	3	6	0	
