"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	
1160	1363	1405	1063	1169	1196	1226	1042	1161	1347	1201	993	1417	1100	1000	1037	1005	1023	1053	1317	
1100	1300	1300	1000	1100	1100	1150	1000	1100	1250	1150	1000	1350	1050	1000	1000	1000	1000	1000	1350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
725	731	862	663	681	814	863	785	829	862	875	773	1073	727	877	680	722	709	829	1040	
94	106	121	99	53	139	89	102	90	119	181	49	72	29	75	90	30	23	58	33	
281	463	317	238	366	147	198	113	181	269	94	178	205	294	48	230	248	268	113	277	
94	106	121	99	53	139	89	102	90	119	181	49	72	29	75	90	30	23	58	33	
725	731	862	663	681	814	863	785	829	862	875	773	1073	727	877	680	722	709	829	1040	
12	11	10	14	6	16	1	6	7	0	0	5	13	7	0	7	3	13	5	26	
807	826	973	748	728	937	951	881	912	981	1056	817	1132	749	952	763	749	719	882	1047	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	3	3	12	0	3	6	4	0	4	0	3	5	4	1	2	1	6	3	1	
57	10	49	63	35	123	96	110	49	21	40	12	118	153	46	23	26	117	58	197	
9	20	43	30	26	86	48	58	28	22	20	7	60	45	15	8	6	42	19	46	
726	784	852	632	663	708	782	694	831	930	982	787	930	526	886	718	716	537	786	759	
3	2	9	4	1	5	6	6	1	3	9	2	7	6	2	4	0	5	6	23	
5	1	7	1	0	2	6	6	1	1	0	1	4	6	0	2	0	6	2	10	
3	3	7	3	2	6	4	2	2	0	5	3	5	7	1	3	0	3	2	5	
0	3	3	3	1	4	3	1	0	0	0	2	3	2	1	3	0	3	6	6	
