"УИК №3901"	"УИК №3902"	"УИК №3903"	"УИК №3904"	"УИК №3905"	"УИК №3906"	"УИК №3907"	"УИК №3908"	"УИК №3909"	"УИК №3910"	"УИК №3911"	"УИК №3912"	"УИК №3913"	"УИК №3914"	"УИК №3915"	"УИК №3916"	"УИК №3917"	"УИК №3918"	"УИК №3919"	"УИК №3920"	"УИК №3921"	"УИК №3922"	"УИК №3923"	"УИК №3924"	"УИК №3925"	
962	990	588	401	232	1342	1103	750	534	681	612	1160	947	1008	1119	1537	652	535	312	226	455	932	852	130	171	
930	950	570	400	220	1250	1050	700	480	600	580	1150	950	1000	1100	1350	600	400	300	230	450	950	900	110	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
687	675	358	265	199	667	607	439	417	363	329	689	548	617	729	892	405	316	207	114	288	644	481	78	87	
24	23	28	16	4	59	18	22	5	93	49	37	9	27	17	23	26	12	4	11	28	27	23	1	8	
219	252	184	119	17	524	425	239	58	144	202	424	393	356	354	435	169	72	89	105	134	279	396	31	55	
24	23	28	16	4	59	18	22	5	93	49	37	9	27	17	23	26	12	4	11	28	27	23	1	8	
687	675	358	265	199	667	607	439	417	363	329	689	548	617	729	892	405	316	207	114	288	644	481	78	87	
6	11	9	8	1	16	21	18	9	6	6	5	5	9	11	15	5	5	5	5	1	10	7	0	0	
705	687	377	273	202	710	604	443	413	450	372	721	552	635	735	900	426	323	206	120	315	661	497	79	95	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	4	0	1	1	2	4	2	3	8	3	2	5	2	8	6	1	2	0	1	1	3	2	0	1	
154	191	59	22	35	163	131	99	74	79	65	127	129	125	153	186	114	73	47	25	87	91	97	24	22	
55	62	32	14	12	45	53	26	28	24	29	44	42	61	65	84	36	25	20	11	30	51	39	5	10	
469	413	278	225	152	476	397	303	294	324	262	535	361	429	483	586	268	215	135	82	196	503	345	48	61	
8	13	4	3	1	13	10	7	6	4	4	1	2	5	7	18	3	3	3	1	0	4	2	0	0	
6	2	1	2	1	6	2	1	4	3	2	5	4	4	12	3	2	5	1	0	0	2	6	1	1	
1	1	3	1	0	2	2	3	0	3	2	3	3	5	4	8	1	0	0	0	0	6	4	0	0	
5	1	0	5	0	3	5	2	4	5	5	4	6	4	3	9	1	0	0	0	1	1	2	1	0	
