"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	
1350	2003	1840	2643	929	1456	993	2394	2296	2564	2045	2150	2254	2298	2519	2244	2253	2325	2496	2260	2304	2370	2427	2300	958	1899	1995	1678	2525	2430	2102	2528	2540	2708	2867	1797	1589	2260	2034	2019	1310	2060	2126	2272	2550	2109	2451	2165	2606	2105	2863	1649	1270	595	211	73	95	348	511	
1100	1800	1400	2300	700	2100	1500	2100	1800	2100	1600	1700	1800	1800	2000	2100	2000	2000	2000	2100	2000	2000	2000	2000	800	1500	1600	1400	2000	2100	2000	2000	2000	2100	2300	1700	1700	2000	2000	1600	1800	2100	1800	2100	2100	2100	2000	2100	2200	1600	2200	1500	1000	700	280	80	150	400	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
592	776	805	1317	559	1330	923	1656	1146	1423	1393	1451	1400	1418	1670	1514	1356	1557	1496	1468	1723	1527	1508	1300	468	1168	1125	878	1324	1458	1327	1321	1309	1461	1341	1273	1363	1300	1362	1360	1162	1225	1176	1502	1700	1320	1166	1322	1706	1074	1346	1123	720	389	175	44	67	348	466	
61	83	36	72	5	126	70	133	50	82	47	52	56	48	86	86	101	101	43	105	69	35	288	200	37	48	80	51	54	262	166	68	58	68	42	201	226	135	50	172	148	149	94	100	85	157	34	163	124	98	237	339	15	168	35	25	28	0	0	
447	941	559	911	136	644	507	311	604	595	160	197	344	334	244	500	543	342	461	527	208	438	204	500	295	284	395	471	622	380	507	611	633	571	917	226	111	565	588	68	490	726	530	498	315	623	800	615	370	428	617	38	265	143	70	11	55	52	234	
61	83	36	72	5	126	70	133	50	82	47	52	56	48	86	86	101	101	43	105	69	35	288	200	37	48	80	51	54	262	166	68	58	68	42	201	226	135	50	172	148	149	94	100	85	157	34	163	124	98	237	339	15	168	35	25	28	0	0	
592	776	805	1317	559	1330	923	1656	1146	1423	1393	1451	1400	1418	1670	1514	1356	1557	1496	1468	1723	1527	1508	1300	467	1168	1125	878	1324	1458	1327	1321	1309	1461	1341	1273	1363	1300	1362	1360	1162	1225	1176	1502	1700	1320	1166	1322	1706	1074	1346	1123	720	389	175	44	67	348	466	
8	4	6	16	11	12	8	23	5	13	11	4	15	15	4	8	5	5	19	5	10	16	13	10	7	4	6	9	9	2	12	16	17	16	12	13	2	4	17	14	11	10	14	3	18	9	10	17	15	6	0	16	6	1	5	0	0	11	3	
645	855	835	1373	553	1444	985	1766	1191	1492	1429	1499	1441	1451	1752	1592	1452	1653	1520	1568	1782	1546	1783	1490	497	1212	1199	920	1369	1718	1481	1373	1350	1513	1371	1461	1587	1431	1395	1518	1299	1364	1256	1599	1767	1468	1190	1468	1815	1166	1583	1446	729	556	205	69	95	337	463	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	8	6	8	3	10	9	7	14	16	16	6	13	7	10	2	5	12	12	5	8	18	18	3	2	4	8	5	5	12	12	15	5	13	6	13	8	3	5	5	16	8	7	3	49	6	6	15	8	8	10	3	7	2	0	0	0	2	2	
74	102	130	196	68	55	68	89	181	225	88	152	131	203	191	189	132	70	150	43	60	196	231	139	66	154	69	71	179	205	189	191	175	101	80	101	138	122	219	65	140	117	72	28	171	88	181	177	106	126	165	73	95	66	13	5	7	27	87	
54	48	76	100	43	53	43	35	94	91	40	15	65	98	41	5	5	29	47	28	28	94	60	6	23	40	51	24	2	50	95	97	15	59	26	73	70	47	94	32	82	37	20	14	132	16	105	100	26	93	34	50	42	36	16	8	8	73	46	
486	658	602	1026	422	1300	855	1598	844	1091	1231	1298	1188	1079	1492	1368	1283	1514	1252	1460	1649	1151	1410	1341	385	976	1026	790	1176	1375	1127	1007	1131	1291	1242	1241	1323	1244	1023	1388	1019	1167	1145	1543	1250	1344	854	1129	1641	890	1321	1275	572	430	168	52	79	200	313	
5	12	4	21	8	10	6	10	25	18	13	6	16	29	5	7	6	12	18	10	10	34	6	1	6	12	16	8	2	30	12	11	9	16	4	12	12	1	23	3	12	13	4	2	27	1	14	12	9	13	10	5	2	9	2	0	0	27	6	
7	10	5	10	0	5	0	11	12	13	10	7	6	12	3	7	4	4	7	4	9	12	12	0	4	9	8	6	0	5	8	15	3	6	6	3	7	6	9	10	8	2	3	4	32	3	12	16	9	8	11	4	4	3	0	1	0	1	1	
5	4	6	3	5	2	4	7	14	10	5	11	5	14	5	9	9	6	11	7	3	19	12	0	5	6	8	6	2	9	16	8	4	6	4	4	12	3	7	6	13	7	3	4	52	2	9	7	8	15	11	10	2	3	2	1	1	2	4	
7	13	6	9	4	9	0	9	7	28	26	4	17	9	5	5	8	6	23	11	15	22	34	0	6	11	13	10	3	32	22	29	8	21	3	14	17	5	15	9	9	13	2	1	54	8	9	12	8	13	21	26	5	7	4	2	0	5	4	
