"УИК №866"	"УИК №867"	"УИК №868"	"УИК №869"	"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	"УИК №874"	"УИК №875"	"УИК №876"	"УИК №877"	"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №882"	"УИК №883"	"УИК №884"	"УИК №885"	"УИК №886"	"УИК №887"	"УИК №888"	"УИК №889"	"УИК №890"	"УИК №891"	"УИК №892"	"УИК №893"	"УИК №894"	"УИК №895"	"УИК №896"	"УИК №897"	"УИК №898"	"УИК №899"	"УИК №900"	"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	"УИК №910"	"УИК №911"	"УИК №912"	"УИК №913"	"УИК №914"	"УИК №915"	"УИК №916"	"УИК №917"	"УИК №918"	"УИК №919"	"УИК №920"	"УИК №921"	"УИК №922"	"УИК №923"	"УИК №924"	"УИК №925"	"УИК №926"	"УИК №927"	"УИК №958"	"УИК №959"	"УИК №981"	
2006	2277	1841	927	2387	2315	1958	915	1635	1303	2011	1877	2260	671	785	2295	663	1800	1370	959	841	741	653	1086	1212	1674	1334	620	716	837	607	1044	531	369	137	136	2357	548	1946	1797	1729	1538	1782	1650	1651	1875	1259	1024	1049	1117	1579	1128	1427	1243	1682	1849	1431	2665	2143	2125	2489	625	1785	1587	1128	
2000	2230	1790	930	2430	2430	2440	890	1650	1320	1990	1940	2380	650	740	2280	650	1850	1360	910	810	670	640	1100	1160	1710	1420	590	750	730	610	1090	480	280	110	120	2380	440	1960	1550	1570	1500	1650	1650	1630	1880	1270	920	970	1040	1500	980	1380	1200	1720	2080	1470	2660	2280	1990	2490	640	1610	1580	860	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1640	1212	1134	641	1438	1403	1134	560	986	742	1213	1155	1475	387	384	1253	310	1326	784	437	562	492	231	494	567	908	633	422	541	425	315	729	294	170	69	89	1823	309	1443	1174	1114	867	1016	1010	1006	969	592	498	406	565	670	544	777	644	1468	1213	1095	1357	1527	1725	1997	320	1135	909	846	
146	55	23	81	363	29	20	21	63	15	33	101	314	13	19	43	57	164	55	65	31	143	152	121	104	47	93	74	30	25	86	54	47	60	25	10	240	16	214	100	9	16	18	2	25	85	49	26	39	59	64	160	26	22	202	171	108	197	90	176	96	22	38	8	14	
214	963	633	208	629	998	1286	309	601	563	744	684	591	250	337	984	283	360	521	408	217	35	257	485	489	755	694	94	179	280	209	307	139	50	16	21	317	115	303	276	447	617	616	638	599	826	629	396	525	416	766	276	577	534	50	696	267	1106	663	89	397	298	437	663	0	
146	55	23	81	363	29	20	21	63	15	33	101	314	13	19	43	57	164	55	65	31	143	152	121	104	47	93	74	30	25	86	54	47	60	25	10	240	16	214	100	9	16	18	2	25	85	49	26	39	59	64	160	26	22	202	171	108	197	90	176	96	22	38	8	14	
1640	1212	1134	641	1438	1402	1134	560	986	742	1213	1155	1475	387	384	1253	310	1326	784	437	562	492	231	494	567	908	633	422	541	425	315	729	294	170	69	89	1823	309	1443	1174	1114	867	1016	1010	1006	968	592	498	406	565	670	544	777	644	1468	1213	1095	1357	1527	1725	1997	320	1135	908	846	
11	12	11	2	11	16	8	4	8	9	12	14	17	5	3	13	1	10	11	3	3	11	1	13	5	11	7	6	3	8	1	249	5	0	0	3	18	3	25	8	11	13	10	7	15	11	11	5	5	8	7	14	10	16	1	30	10	25	152	18	23	0	14	7	13	
1775	1255	1146	720	1790	1415	1146	577	1041	748	1234	1242	1772	395	400	1283	366	1480	828	499	590	624	382	602	666	944	719	490	568	442	400	534	336	230	94	96	2045	322	1632	1266	1112	870	1024	1005	1016	1042	630	519	440	616	727	690	793	650	1669	1354	1193	1529	1465	1883	2070	342	1159	909	847	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	9	11	5	16	15	8	5	8	8	11	14	14	3	2	9	2	6	0	1	1	5	2	5	6	3	8	1	3	1	3	7	0	3	1	0	8	2	12	13	5	7	3	8	5	12	4	4	1	2	5	6	7	10	6	13	7	20	10	8	9	3	5	12	5	
143	128	105	40	176	146	141	64	107	82	107	115	154	47	44	124	38	114	65	33	25	67	36	58	52	88	65	42	58	45	45	51	31	31	7	7	112	30	99	110	85	91	101	101	90	82	77	49	44	74	75	59	59	83	70	106	78	125	140	79	131	21	80	98	69	
63	63	82	38	75	66	59	32	40	50	70	54	99	35	19	80	19	57	48	33	26	45	25	29	27	57	44	32	45	21	35	35	28	11	4	10	84	14	91	62	59	39	46	51	48	57	32	31	20	25	30	42	32	27	46	74	49	65	66	63	79	16	51	35	56	
1504	998	882	615	1378	1124	885	432	840	566	982	1015	1432	292	315	999	297	1245	693	416	528	463	308	494	566	761	583	389	440	353	305	417	270	177	79	78	1790	254	1346	1010	916	700	832	799	828	838	487	420	353	496	580	544	660	499	1504	1056	1009	1252	1177	1679	1788	293	975	708	671	
13	25	22	8	56	24	22	18	21	21	24	12	33	10	5	29	3	26	6	3	5	11	5	6	4	11	8	5	8	7	4	12	3	3	1	1	18	9	51	25	22	10	15	20	22	18	12	6	14	7	11	18	20	14	17	28	18	23	22	17	22	6	17	33	27	
8	8	9	5	40	12	10	3	4	3	7	13	11	0	5	10	2	5	11	6	3	11	0	2	4	8	3	9	4	7	3	5	2	3	2	0	12	2	9	8	8	6	4	4	6	11	3	4	2	2	6	7	3	5	9	9	7	13	15	13	9	1	9	5	9	
15	13	10	5	16	12	16	12	8	6	9	12	10	2	3	9	3	12	3	4	0	8	0	5	5	7	2	7	5	6	2	3	2	2	0	0	6	4	12	16	12	6	7	15	4	13	5	3	3	5	11	5	4	6	5	19	7	15	25	12	11	1	14	5	4	
15	11	25	4	33	16	5	11	13	12	24	7	19	6	7	23	2	15	2	3	2	14	6	3	2	9	6	5	5	2	3	4	0	0	0	0	15	7	12	22	5	11	16	7	13	11	10	2	3	5	9	9	8	6	12	49	18	16	10	12	21	1	8	13	6	
