"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	"УИК №471"	"УИК №472"	"УИК №473"	"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	
880	1039	2174	2134	2593	2311	2274	2289	2196	1697	1162	682	545	241	1609	1551	1569	327	584	79	330	198	199	424	178	305	142	158	922	98	
900	1070	2150	2100	2710	2380	2375	2365	2230	1735	1200	505	570	240	1695	1625	1615	350	600	80	340	195	195	435	160	320	145	160	980	105	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	23	0	0	12	0	
343	545	1118	984	1589	1364	1429	1363	1272	925	673	312	223	108	876	790	793	97	295	32	118	87	42	156	56	131	67	66	325	42	
5	11	32	88	33	34	17	23	28	18	28	159	0	4	19	35	77	21	24	0	27	0	16	20	15	11	9	6	57	8	
552	514	1000	1028	1088	982	929	979	930	792	499	34	347	128	800	800	745	232	281	48	195	108	117	259	89	155	69	88	586	55	
5	11	32	88	33	34	17	23	28	18	28	159	0	4	19	35	77	21	24	0	27	0	36	20	15	34	9	6	69	8	
343	545	1118	984	1589	1364	1429	1363	1271	925	673	312	223	108	876	790	793	97	295	32	118	87	42	156	56	131	67	66	325	42	
8	11	15	8	15	20	21	23	24	20	10	7	2	3	15	16	10	0	7	1	1	0	1	2	0	0	0	0	8	0	
340	545	1135	1064	1607	1378	1425	1363	1275	923	691	464	221	109	880	809	860	118	312	31	144	87	77	174	71	165	76	72	386	50	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	2	4	9	18	8	11	6	10	15	8	2	0	1	6	8	7	1	1	0	0	0	0	0	0	1	0	0	4	0	
32	55	137	94	152	145	132	159	165	93	80	33	31	15	104	73	110	6	29	3	12	8	3	19	10	12	4	9	34	0	
36	52	86	115	108	102	102	96	97	83	52	66	27	13	84	111	94	18	40	6	13	6	18	30	11	10	4	4	41	6	
256	417	856	793	1255	1049	1116	1046	940	689	523	332	155	74	654	582	614	85	229	20	117	71	55	119	50	138	64	59	294	43	
12	9	21	22	28	29	19	22	27	19	11	25	2	2	10	11	10	4	6	0	1	1	1	2	0	3	1	0	6	0	
2	5	6	12	17	19	8	10	7	9	2	2	0	1	10	6	8	4	2	1	0	1	0	3	0	1	2	0	3	0	
0	0	12	9	17	13	14	11	12	9	7	2	2	2	6	10	9	0	3	1	0	0	0	0	0	0	0	0	2	1	
0	5	13	10	12	13	23	13	17	6	8	2	4	1	6	8	8	0	2	0	1	0	0	1	0	0	1	0	2	0	
