"УИК №2490"	"УИК №2491"	"УИК №2492"	"УИК №2493"	"УИК №2494"	"УИК №2495"	"УИК №2496"	"УИК №2497"	"УИК №2498"	
1937	1443	1940	1620	1222	2085	2039	1875	2202	
1500	1100	1500	1200	900	2100	1600	1500	2000	
0	0	0	0	0	0	0	0	0	
1051	835	1092	875	678	1185	1217	1098	1252	
55	43	49	47	28	80	21	40	31	
394	222	359	278	194	834	362	362	717	
55	43	49	47	28	80	21	40	31	
1050	833	1092	875	678	1185	1216	1098	1252	
20	11	14	9	13	11	14	19	14	
1085	865	1127	913	693	1254	1223	1119	1269	
0	0	0	0	0	1	0	0	0	
0	0	0	0	0	0	0	0	0	

19	11	10	10	4	20	14	10	14	
205	165	179	162	102	218	275	182	230	
39	47	59	39	38	91	77	56	63	
750	566	787	657	507	840	785	806	860	
24	23	31	15	13	30	33	23	31	
9	7	11	10	8	11	6	3	13	
10	11	22	7	9	9	13	22	22	
29	35	28	13	12	35	20	17	36	
