"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	"УИК №681"	"УИК №682"	"УИК №683"	"УИК №684"	
428	133	566	708	411	185	216	213	293	1035	360	293	227	186	456	326	196	105	420	2027	833	823	776	
433	132	560	710	405	184	215	209	289	1040	363	287	230	188	453	330	193	106	425	2040	845	830	785	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
308	78	430	595	310	142	170	169	192	721	239	192	128	131	300	231	140	65	289	1096	609	579	560	
95	36	102	61	56	29	20	18	56	123	83	67	80	30	108	39	33	19	76	228	72	92	47	
30	18	28	54	39	13	25	22	41	196	41	28	22	27	45	60	20	22	60	716	164	159	178	
95	36	102	61	56	29	20	18	56	123	83	67	80	30	108	39	33	19	76	228	72	92	47	
308	78	430	595	310	142	170	169	192	721	239	192	128	131	300	231	140	65	289	1096	609	579	560	
0	0	0	1	1	0	1	1	0	4	0	1	0	0	0	3	2	0	4	6	6	2	5	
403	114	532	655	365	171	189	186	248	840	322	258	208	161	408	267	171	84	361	1318	675	669	602	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	2	3	3	0	0	0	0	1	1	1	0	0	0	1	1	1	1	2	1	1	1	
9	7	25	43	10	6	17	7	13	60	25	27	7	7	10	25	13	3	46	165	113	43	27	
1	3	22	35	3	16	8	8	12	35	17	10	8	4	17	17	7	3	18	24	17	70	31	
391	104	476	571	345	147	163	168	214	732	276	217	190	149	376	223	149	76	285	1120	534	540	534	
1	0	3	2	2	1	0	2	4	7	0	0	2	0	2	0	0	0	5	3	7	12	3	
0	0	2	1	1	1	0	0	1	2	2	1	0	1	1	0	1	0	1	2	2	0	5	
0	0	1	0	1	0	1	0	4	1	1	1	0	0	1	1	0	1	0	0	1	1	1	
1	0	1	0	0	0	0	1	0	2	0	1	1	0	1	0	0	0	5	2	0	2	0	
