"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	"УИК №562"	"УИК №563"	"УИК №564"	"УИК №565"	"УИК №566"	"УИК №567"	"УИК №568"	"УИК №569"	"УИК №570"	"УИК №571"	"УИК №572"	"УИК №573"	"УИК №574"	"УИК №575"	"УИК №576"	"УИК №577"	"УИК №578"	"УИК №579"	"УИК №580"	"УИК №581"	"УИК №582"	"УИК №583"	
2598	2578	1312	1135	2329	1255	1116	2469	1783	864	2727	1368	1028	2803	1317	2405	1058	1448	1106	2858	1075	2461	1365	1166	2468	1485	2512	2567	1409	1062	
2500	1562	1200	681	1340	817	687	2300	1137	557	2600	1300	1000	2500	830	1443	1000	1400	699	2400	684	2400	861	707	2400	942	2400	1670	1400	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1531	1516	796	647	1272	788	657	1339	1086	522	1617	794	553	1598	799	1390	612	899	671	1556	638	1456	831	688	1438	899	1576	1633	753	454	
74	46	41	34	68	29	30	101	51	35	71	37	36	102	31	53	36	28	28	247	46	93	30	19	95	43	71	37	94	130	
895	0	363	0	0	0	0	860	0	0	912	469	411	800	0	0	352	473	0	597	0	851	0	0	867	0	753	0	553	416	
74	46	41	34	68	29	30	101	51	35	71	37	36	102	31	53	36	28	28	247	46	93	27	19	95	43	71	37	94	130	
1531	1513	796	647	1269	785	657	1339	1084	522	1617	793	553	1598	798	1389	612	899	670	1556	636	1456	829	687	1437	898	1576	1632	753	454	
36	0	7	8	13	2	1	11	8	1	12	11	5	13	2	2	5	11	1	11	6	12	14	3	21	7	23	7	11	4	
1569	1559	830	673	1324	812	686	1429	1127	556	1676	819	584	1687	827	1440	643	916	697	1792	676	1537	842	703	1511	934	1624	1662	836	580	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	5	4	6	7	0	6	1	2	2	11	2	1	13	3	6	5	4	4	11	6	7	4	7	8	5	13	20	8	2	
192	212	102	105	125	108	66	207	138	55	211	109	84	227	98	147	56	114	98	180	89	143	96	78	174	117	200	176	89	47	
133	140	83	49	115	56	52	122	80	44	125	81	52	146	57	114	56	83	71	131	53	115	80	61	130	59	125	107	86	40	
1202	1156	611	502	1034	631	540	1056	884	444	1272	592	437	1262	627	1141	499	671	504	1413	507	1226	640	528	1150	718	1221	1302	630	476	
8	17	9	3	20	5	10	14	4	5	21	16	4	19	17	15	10	19	6	26	11	18	8	13	23	13	32	25	8	3	
7	6	10	1	7	0	2	12	3	2	11	9	2	8	5	4	5	3	2	9	2	6	2	3	9	7	12	8	4	3	
10	11	7	3	14	7	6	10	11	2	12	5	4	7	9	11	7	7	5	10	3	11	7	2	7	7	11	15	4	5	
4	12	4	4	2	5	4	7	5	2	13	5	0	5	11	2	5	15	7	12	5	11	5	11	10	8	10	9	7	4	
