"УИК №1443"	"УИК №1444"	"УИК №1445"	"УИК №1446"	"УИК №1447"	"УИК №1448"	"УИК №1449"	"УИК №1450"	"УИК №1451"	"УИК №1452"	"УИК №1453"	"УИК №1454"	"УИК №1455"	"УИК №1456"	"УИК №1457"	"УИК №1458"	"УИК №1459"	"УИК №1460"	"УИК №1461"	"УИК №1462"	"УИК №1463"	"УИК №1464"	"УИК №1465"	"УИК №1466"	"УИК №1467"	"УИК №1468"	"УИК №1469"	"УИК №1470"	"УИК №1471"	"УИК №1472"	"УИК №1473"	"УИК №1474"	"УИК №1475"	"УИК №1476"	"УИК №1477"	
1203	1135	1247	972	1381	940	153	908	939	450	601	393	290	70	323	188	37	361	129	391	268	379	243	618	396	758	138	167	179	206	68	261	127	185	247	
1205	1130	1260	970	1350	895	155	1010	1085	485	620	420	295	70	350	220	51	375	142	420	270	395	250	645	425	770	146	220	187	225	70	260	126	181	280	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
983	943	1054	861	1070	807	129	597	663	354	509	248	250	62	247	99	32	326	72	337	256	294	211	533	357	685	125	136	153	153	57	196	109	107	210	
100	80	23	32	173	86	6	59	74	60	62	43	16	8	27	77	3	11	47	29	12	52	11	54	22	31	7	31	16	32	7	14	11	63	17	
122	107	183	77	107	2	20	354	348	71	49	129	29	0	76	44	16	38	23	54	2	49	28	58	46	54	14	53	18	40	6	50	6	11	53	
100	80	23	32	173	86	6	59	74	60	62	43	16	8	27	77	3	11	47	29	12	52	11	54	22	31	7	31	16	32	7	14	11	63	17	
983	943	1054	861	1070	807	129	597	663	354	509	248	250	62	247	99	32	326	72	337	256	294	211	533	357	685	125	136	153	153	57	196	109	107	210	
5	0	16	8	3	0	0	26	13	7	0	3	0	0	4	0	0	0	0	0	0	5	0	3	5	5	0	0	4	2	0	5	0	8	0	
1078	1023	1061	885	1240	893	135	630	724	407	571	288	266	70	270	176	35	337	119	366	268	341	222	584	374	711	132	167	165	183	64	205	120	162	227	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	0	5	8	4	0	1	5	4	0	3	3	1	0	1	0	0	1	0	2	1	2	0	2	1	5	0	2	0	0	0	0	0	2	0	
22	42	148	57	45	15	24	137	125	12	12	29	34	1	22	3	2	15	5	37	8	18	27	42	28	35	6	10	8	19	0	30	0	9	2	
34	18	69	23	20	18	17	77	98	8	19	31	15	2	17	7	1	24	8	27	10	13	6	52	13	24	6	11	6	17	4	21	4	13	13	
996	942	822	778	1144	852	88	389	470	385	531	224	213	67	223	162	32	290	106	293	246	301	184	486	330	641	118	140	151	147	60	150	116	134	210	
5	3	6	7	6	1	0	9	9	0	1	0	3	0	1	1	0	3	0	2	1	2	3	1	0	3	1	0	0	0	0	2	0	2	1	
2	15	6	5	3	4	2	4	9	2	2	1	0	0	2	1	0	2	0	1	1	3	1	1	1	1	0	1	0	0	0	1	0	1	0	
2	0	1	3	2	1	0	4	7	0	1	0	0	0	3	1	0	1	0	3	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	
13	3	4	4	16	2	3	5	2	0	2	0	0	0	1	1	0	1	0	1	1	0	1	0	0	1	1	3	0	0	0	1	0	0	1	
