"УИК №851"	"УИК №852"	"УИК №853"	"УИК №854"	"УИК №855"	"УИК №856"	"УИК №857"	"УИК №858"	"УИК №859"	"УИК №860"	"УИК №861"	"УИК №862"	"УИК №863"	"УИК №864"	"УИК №865"	"УИК №866"	"УИК №867"	
1223	693	1359	1419	509	190	236	306	419	257	206	370	283	273	341	597	362	
1200	700	1300	1400	450	180	230	300	400	240	200	350	250	250	320	600	360	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
531	335	604	678	222	73	117	111	186	88	82	157	124	118	155	238	144	
49	14	50	32	49	25	29	45	61	55	23	58	48	18	22	27	33	
620	351	646	690	179	82	84	144	153	97	95	135	78	114	143	335	183	
49	14	50	32	49	25	29	45	61	55	23	58	48	18	22	27	33	
531	335	604	677	222	73	117	111	186	88	82	157	124	118	155	238	144	
5	4	8	11	0	0	0	0	1	0	1	2	0	1	0	3	2	
575	345	646	698	271	98	146	156	246	143	104	213	172	135	177	262	175	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	4	8	5	3	0	1	0	1	1	1	0	1	2	1	4	3	
91	49	75	87	32	14	11	10	10	10	17	22	12	14	19	48	11	
58	29	71	68	34	9	8	8	10	5	5	14	20	7	30	35	16	
396	251	460	520	196	74	120	137	219	124	78	171	139	107	124	164	143	
8	4	9	3	1	0	0	0	2	1	1	2	0	1	1	3	1	
3	5	6	5	0	0	0	0	1	0	1	2	0	0	1	6	1	
5	2	7	7	3	0	5	1	1	2	1	1	0	1	0	1	0	
3	1	10	3	2	1	1	0	2	0	0	1	0	3	1	1	0	
