"УИК №1028"	"УИК №1029"	"УИК №1030"	"УИК №1031"	"УИК №1032"	"УИК №1033"	"УИК №1034"	"УИК №1036"	"УИК №1037"	"УИК №1038"	"УИК №1039"	"УИК №1040"	"УИК №1041"	"УИК №1042"	
65	278	486	1029	1033	539	132	1536	1468	423	172	302	771	155	
60	280	480	1040	1040	550	130	1560	1500	420	170	300	800	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
40	197	325	504	518	335	73	893	850	255	94	157	450	125	
6	17	27	135	128	33	19	89	60	42	12	37	69	0	
14	66	128	401	394	182	38	578	590	123	64	106	281	25	
6	17	27	135	128	33	19	89	60	42	12	37	69	0	
40	197	325	504	518	335	73	893	850	255	94	157	450	125	
0	1	2	5	11	3	1	14	10	5	0	1	9	0	
46	213	350	634	635	365	91	968	900	292	106	193	510	125	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	1	2	5	2	2	3	12	2	0	1	3	1	
2	17	75	123	96	78	7	220	206	95	17	23	72	24	
2	25	21	45	47	23	7	54	68	29	14	16	41	17	
41	169	253	455	479	257	73	677	598	163	72	151	390	82	
0	1	0	6	2	1	1	3	8	0	1	0	1	0	
0	0	0	1	4	2	1	7	4	3	1	1	1	0	
0	0	0	0	1	0	0	3	1	0	1	0	2	1	
1	0	0	2	1	2	0	1	3	0	0	1	0	0	
