"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	
1766	1275	1839	631	339	812	385	422	616	865	182	583	337	605	608	415	
1900	1350	1900	650	380	900	400	420	620	950	190	650	380	700	680	450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1083	764	1101	412	206	492	236	229	418	546	122	483	275	334	447	270	
131	99	122	124	81	98	80	58	91	112	18	42	33	92	51	47	
686	487	677	114	93	310	84	133	111	292	50	125	72	274	182	133	
131	99	122	124	81	98	80	58	91	112	18	42	33	92	51	47	
1083	764	1101	412	206	492	236	229	418	545	122	483	275	334	447	270	
16	0	25	2	1	0	1	2	3	2	2	2	0	7	3	1	
1198	863	1198	534	286	590	315	285	506	655	138	523	308	419	495	316	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	1	8	1	2	3	0	3	3	4	0	2	1	3	3	1	
86	243	298	41	52	80	27	79	111	110	11	53	31	84	66	56	
9	11	68	5	4	41	6	20	23	45	2	12	1	39	20	19	
1089	604	784	479	228	462	279	181	366	487	123	451	274	285	401	233	
2	2	20	3	0	2	1	1	1	2	1	3	0	1	4	6	
4	2	5	4	0	1	1	0	1	5	0	0	1	3	0	1	
2	0	8	0	0	0	1	0	1	2	1	0	0	4	0	0	
2	0	7	1	0	1	0	1	0	0	0	2	0	0	1	0	
