"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №814"	
969	888	774	458	279	592	303	269	135	425	7	4	7	3	
850	829	700	350	250	800	300	300	150	450	7	4	7	3	
0	228	11	0	0	33	24	10	0	15	0	0	0	0	
614	403	527	312	150	415	191	177	76	253	0	3	5	3	
25	24	20	6	5	28	16	2	1	11	0	0	0	0	
211	174	142	32	95	324	69	111	73	171	7	1	2	0	
25	252	31	6	5	61	40	12	1	26	0	0	0	0	
614	403	527	312	150	415	191	177	76	253	0	3	5	3	
6	3	8	3	3	2	2	1	0	1	0	0	0	0	
633	652	550	315	152	474	229	188	77	278	0	3	5	3	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	5	2	0	0	2	0	1	0	4	0	0	0	0	
98	69	57	16	21	67	56	34	6	66	0	0	0	0	
22	52	25	19	3	7	8	5	2	1	0	0	0	0	
498	509	456	268	125	383	161	146	66	202	0	3	5	3	
9	7	1	3	1	5	2	2	2	3	0	0	0	0	
1	3	1	2	1	4	2	0	1	1	0	0	0	0	
1	6	4	4	1	5	0	0	0	0	0	0	0	0	
2	1	4	3	0	1	0	0	0	1	0	0	0	0	
