"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	
1544	1688	2100	2605	2500	2525	1017	1486	1996	2519	2131	2545	1853	2000	2599	2541	2743	2528	2761	2366	
1500	1650	2100	2600	2500	2550	1300	1450	2000	2500	2100	2500	2300	2000	2600	2500	2700	2500	2800	2247	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1201	1309	1649	2042	2011	1963	772	1192	1560	2011	1663	1976	1853	1554	2077	1991	2150	1967	2186	1856	
13	68	6	0	0	2	245	0	5	6	8	0	0	2	3	1	1	9	0	19	
286	273	445	558	489	585	283	258	435	483	429	524	447	444	520	508	549	524	614	372	
13	68	6	0	0	2	245	0	5	6	8	0	0	2	3	1	1	9	0	19	
1201	1309	1649	2042	2011	1963	772	1192	1560	2011	1663	1976	1853	1554	2077	1991	2150	1967	2186	1856	
10	10	0	49	0	0	3	10	22	0	33	0	0	2	0	0	14	2	4	22	
1204	1367	1655	1993	2011	1965	1014	1182	1543	2017	1638	1976	1853	1554	2080	1992	2137	1974	2182	1853	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	6	15	20	18	18	7	12	3	18	13	20	17	14	16	52	19	18	18	1	
71	70	85	114	107	113	61	68	135	116	102	118	110	91	124	124	151	115	134	117	
65	5	90	114	107	105	53	62	7	102	92	112	99	82	112	112	116	59	117	15	
996	1210	1388	1644	1673	1615	848	986	1314	1681	1347	1624	1535	1291	1720	1584	1744	1647	1803	1651	
26	34	33	43	44	46	20	22	40	47	37	46	40	32	45	40	49	51	50	27	
2	8	5	5	4	4	1	3	6	4	3	4	4	3	4	10	2	4	2	2	
23	8	26	35	38	42	17	22	5	37	32	40	33	29	41	56	41	36	41	3	
10	26	13	18	20	22	7	7	33	12	12	12	15	12	18	14	15	44	17	37	
