"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	"УИК №837"	"УИК №838"	"УИК №839"	"УИК №840"	"УИК №841"	"УИК №842"	"УИК №843"	"УИК №844"	"УИК №845"	"УИК №846"	"УИК №847"	"УИК №848"	"УИК №849"	"УИК №850"	"УИК №851"	"УИК №852"	"УИК №853"	"УИК №854"	"УИК №855"	"УИК №856"	"УИК №857"	"УИК №858"	"УИК №859"	"УИК №860"	"УИК №861"	"УИК №862"	"УИК №863"	"УИК №864"	"УИК №865"	"УИК №866"	"УИК №867"	"УИК №868"	"УИК №869"	"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	"УИК №874"	"УИК №875"	"УИК №876"	"УИК №877"	"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №882"	"УИК №883"	"УИК №884"	"УИК №885"	"УИК №886"	"УИК №887"	"УИК №888"	"УИК №889"	"УИК №890"	"УИК №891"	"УИК №892"	"УИК №893"	"УИК №894"	
2231	1818	1967	2123	2093	2317	1990	2081	1944	2538	2219	2379	2205	2436	2270	2174	2357	1409	2528	2480	2388	2150	1947	2325	2319	2190	2219	2190	2200	2193	2114	2276	2255	2130	2334	2099	1867	1935	2004	2331	2046	2033	1952	1948	2098	1924	1756	2176	2471	2142	1138	1762	1667	1670	1484	1368	1985	1815	1953	1947	2278	2305	1896	1782	1719	1989	1305	392	1438	
2000	1500	1500	2000	1500	2000	2000	2000	1500	2500	2000	2000	2000	2000	2000	2000	2000	1000	2000	2000	2000	2000	1500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1500	1500	1500	2000	2000	2000	1500	1500	2000	1500	1500	2000	2500	2000	1000	1500	1500	1500	1100	1000	1500	1500	1500	1500	2000	2000	1500	1500	1500	1500	1000	500	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1230	1058	1165	1204	1242	1366	1140	1247	1174	1505	1366	1246	1367	1508	1390	1316	1252	801	1452	1475	1392	1207	1058	1278	1287	1221	1144	1183	1244	1282	1255	1319	1240	1217	1233	1230	1145	1059	1178	1318	1130	1071	1087	1138	1168	1059	904	1197	1299	1098	708	1039	996	942	772	774	1135	981	1007	1038	1332	1308	1095	1078	1060	1118	751	0	1438	
15	19	20	27	20	20	27	13	17	15	28	26	18	19	20	25	33	19	26	30	28	20	16	15	21	23	29	34	31	27	20	22	15	35	24	38	15	24	20	15	31	36	20	17	16	17	11	24	14	13	26	30	41	35	30	60	15	21	26	10	21	12	30	15	17	11	17	385	0	
755	423	315	769	238	614	833	740	309	980	606	728	615	473	590	659	715	180	522	495	580	773	426	707	692	756	827	783	725	691	725	659	745	748	743	732	340	417	302	667	839	893	393	345	816	424	585	779	1187	889	266	431	463	523	298	166	350	498	467	452	647	680	375	407	423	371	232	115	562	
15	19	20	27	20	20	27	13	17	15	28	26	18	19	20	25	33	19	26	30	28	20	16	15	21	23	29	34	31	27	20	22	15	35	24	38	15	24	20	15	30	36	20	17	16	17	11	24	14	13	26	30	41	35	30	60	15	21	26	10	21	12	30	15	17	11	17	385	0	
1230	1057	1164	1204	1242	1366	1140	1247	1170	1505	1354	1245	1366	1508	1389	1316	1252	800	1452	1475	1391	1207	1058	1276	1286	1221	1144	1183	1244	1280	1255	1319	1240	1217	1229	1230	1143	1058	1178	1318	1130	1071	1087	1138	1166	1058	902	1173	1298	1098	708	1039	996	940	772	773	1135	981	1007	1034	1331	1307	1095	1078	1060	1116	751	0	1438	
7	10	13	11	16	15	5	13	16	14	8	13	14	12	23	12	8	14	14	8	21	15	14	11	16	12	10	12	4	10	17	7	15	8	13	13	12	6	6	11	9	11	12	7	18	9	10	12	10	7	7	8	12	7	10	7	11	11	7	10	10	10	14	19	3	15	13	4	3	
1238	1066	1171	1220	1246	1371	1162	1247	1171	1506	1374	1258	1370	1515	1386	1329	1277	805	1464	1497	1398	1212	1060	1280	1291	1232	1163	1205	1271	1297	1258	1334	1240	1244	1240	1255	1146	1076	1192	1322	1151	1096	1095	1148	1164	1066	903	1185	1302	1104	727	1061	1025	968	792	826	1139	991	1026	1034	1342	1309	1111	1074	1074	1112	755	381	1435	
