"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №3660"	"УИК №3661"	
2047	2065	1991	2130	2076	2455	2416	2284	2222	2445	2112	2306	2030	2499	2093	344	2466	53	173	
1600	1700	1400	1800	1700	1900	2000	1800	1700	2000	1700	1900	1500	2000	1700	400	2000	100	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1172	1146	1102	1141	1069	1192	1327	1361	1196	1279	1211	1256	1225	1328	1161	216	1328	52	77	
55	60	79	46	85	79	58	56	48	49	46	50	49	74	35	6	60	0	86	
373	494	219	613	546	629	615	383	456	672	443	594	226	598	504	178	612	48	37	
55	60	79	46	85	79	58	56	48	48	46	50	49	74	35	6	60	0	86	
1171	1144	1101	1141	1069	1189	1324	1356	1195	1277	1199	1253	1222	1327	1158	216	1325	52	77	
12	8	13	18	8	17	20	20	13	13	10	22	7	21	20	0	10	0	3	
1214	1196	1167	1169	1146	1251	1362	1392	1230	1312	1235	1281	1264	1380	1173	222	1375	52	160	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	17	20	12	8	17	8	12	19	19	15	10	12	19	16	2	6	0	0	
160	174	173	184	160	132	187	177	146	174	160	179	174	172	148	25	160	6	15	
47	63	37	51	38	54	57	62	56	53	69	56	68	50	57	14	67	4	7	
820	775	781	791	805	866	952	951	861	908	855	863	872	972	822	173	995	42	128	
78	55	68	56	50	71	81	72	52	61	56	73	53	67	50	5	69	0	8	
14	11	17	10	11	10	14	22	10	5	8	10	14	8	9	0	10	0	1	
19	25	25	24	20	30	15	25	29	30	20	36	22	24	24	2	21	0	0	
65	76	46	41	54	71	48	71	57	62	52	54	49	68	47	1	47	0	1	
