"УИК №40"	"УИК №41"	"УИК №42"	"УИК №43"	"УИК №44"	"УИК №45"	"УИК №46"	
145	51	449	298	1026	2483	933	
220	115	491	378	969	2273	884	
0	0	0	0	0	18	0	
129	38	273	228	711	1549	619	
5	2	14	8	21	36	55	
86	75	204	142	237	670	210	
5	2	14	8	21	54	55	
129	38	273	228	711	1548	619	
0	0	2	7	10	26	11	
134	40	285	229	722	1576	663	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	

1	1	3	1	4	6	1	
5	6	27	24	118	279	101	
28	2	16	25	55	170	60	
99	31	235	174	530	1074	482	
0	0	1	3	7	24	6	
0	0	1	2	5	7	8	
0	0	1	0	1	7	1	
1	0	1	0	2	9	4	
