"УИК №1366"	"УИК №1367"	"УИК №1368"	"УИК №1369"	"УИК №1370"	"УИК №1371"	"УИК №1372"	"УИК №1373"	"УИК №1374"	"УИК №1375"	"УИК №1376"	"УИК №1377"	"УИК №1378"	"УИК №1379"	"УИК №1380"	"УИК №1381"	"УИК №1382"	"УИК №1383"	"УИК №1384"	"УИК №1385"	"УИК №1386"	"УИК №1387"	"УИК №1388"	"УИК №1389"	"УИК №1390"	"УИК №1391"	
798	818	891	816	563	72	896	649	113	442	397	733	176	657	92	572	175	758	628	56	56	488	586	86	307	270	
850	910	970	910	610	75	920	660	110	450	425	765	180	695	100	600	180	795	665	60	60	545	695	90	320	293	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
413	430	513	417	281	62	621	467	81	407	298	529	154	501	70	486	132	651	535	47	52	421	488	72	264	204	
187	87	93	52	37	7	75	62	17	20	24	62	12	91	12	37	39	52	53	5	0	53	98	7	21	53	
250	393	364	441	292	6	224	131	12	23	103	174	14	103	18	77	9	92	77	8	8	71	109	11	35	36	
187	87	93	52	37	7	75	62	17	20	24	62	12	91	12	37	39	52	53	5	0	53	98	7	21	53	
413	430	513	417	281	62	621	467	81	407	298	529	154	501	70	486	132	651	535	47	52	421	488	72	264	204	
5	4	7	3	2	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
595	513	599	466	316	69	696	524	98	427	321	591	166	592	82	523	171	703	588	52	52	474	586	79	285	257	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	1	3	4	2	0	2	2	1	1	1	3	0	0	0	3	0	1	0	0	0	0	0	0	0	4	
99	111	160	91	70	1	112	69	0	30	43	83	6	37	4	44	7	31	7	0	2	20	53	2	6	6	
49	42	40	35	13	1	32	14	3	9	14	38	11	17	6	14	4	7	3	0	1	11	20	0	8	2	
428	346	389	322	222	66	550	432	92	381	254	456	147	533	71	460	160	661	577	52	47	436	508	77	268	237	
5	4	4	3	3	1	0	2	1	1	2	3	0	2	1	1	0	1	1	0	0	4	5	0	1	4	
5	6	1	5	2	0	0	1	0	4	4	6	2	1	0	0	0	0	0	0	2	1	0	0	2	2	
3	3	1	5	1	0	0	2	1	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	
3	0	1	1	3	0	0	2	0	0	3	0	0	2	0	0	0	1	0	0	0	2	0	0	0	2	
