"УИК №474"	"УИК №475"	"УИК №476"	"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	
680	1538	1654	1331	1338	3728	1424	582	400	1627	1483	2352	2325	1840	2556	2010	1819	316	1926	2893	2376	2495	1874	1889	1919	1466	1773	2171	1643	1895	1875	1561	1420	1633	2020	1927	1803	1629	608	918	813	1280	2369	2398	2283	727	
650	1500	1600	1200	1300	2900	1200	500	400	1600	1400	2100	2200	1800	2500	1900	1700	250	1900	2800	2300	2400	1900	1900	1900	1400	1700	2000	1600	1900	1900	1500	1400	1600	1900	1900	1700	1600	500	800	800	1200	2000	2000	2000	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
326	898	1041	708	680	2618	777	297	169	901	1225	1718	1431	1040	1508	1127	1068	144	1262	1909	1363	1468	1217	983	1129	890	1032	1306	1038	1182	1062	893	742	825	935	1067	1013	909	279	490	382	719	1280	1218	1235	396	
51	22	36	51	75	39	44	31	19	39	30	30	48	71	48	28	51	24	25	15	19	30	42	30	38	46	35	34	29	41	35	45	50	52	102	55	23	53	69	55	14	34	198	194	43	18	
273	580	523	441	545	243	379	172	212	660	145	352	721	689	944	745	581	82	613	876	918	902	641	887	733	464	633	660	533	677	803	562	608	723	863	778	664	638	152	255	404	447	522	588	722	186	
51	22	36	51	75	39	44	31	19	39	30	30	48	71	48	28	51	24	25	15	19	30	42	30	38	46	35	34	29	41	35	45	50	52	102	55	23	53	69	55	14	34	198	194	43	18	
326	898	1041	708	680	2618	777	297	169	901	1225	1718	1431	1039	1507	1124	1068	144	1262	1909	1363	1468	1217	982	1129	890	1032	1306	1038	1182	1062	893	741	825	935	1067	1013	909	279	490	382	719	1280	1218	1235	396	
2	11	9	7	7	26	14	3	3	20	8	25	17	12	15	8	12	2	19	23	10	14	8	16	14	15	18	20	14	6	8	12	12	8	10	8	10	14	1	5	5	14	26	21	4	8	
375	909	1068	752	748	2631	807	325	185	920	1247	1723	1462	1098	1540	1144	1107	166	1268	1901	1372	1484	1251	996	1153	921	1049	1320	1053	1217	1089	926	779	869	1027	1114	1026	948	347	540	391	739	1452	1391	1274	406	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	6	3	10	20	10	2	2	9	5	11	13	9	16	9	11	0	9	13	7	8	8	6	9	6	14	18	8	15	7	4	8	3	9	10	8	6	6	7	3	9	16	9	9	5	
44	120	111	125	105	226	102	43	32	141	56	170	203	152	200	166	152	21	182	313	214	208	208	153	184	137	127	181	164	224	206	115	96	95	131	145	117	98	30	76	46	93	176	197	158	62	
29	76	81	69	70	196	50	18	12	62	30	85	116	73	115	93	78	15	96	116	91	107	76	73	88	56	83	81	64	64	73	69	42	63	86	71	86	97	23	44	29	57	95	100	86	41	
290	680	825	520	538	2098	612	250	135	679	1133	1409	1081	814	1134	821	827	129	928	1382	995	1091	905	729	814	678	790	974	767	846	757	696	607	672	757	851	789	714	275	396	290	542	1090	1024	961	275	
0	14	25	10	17	51	11	6	2	12	10	22	23	15	25	18	10	0	22	32	33	31	21	16	23	14	18	19	23	22	12	15	9	17	21	15	12	20	4	3	6	22	35	28	24	7	
2	6	6	9	1	16	6	3	2	7	0	9	5	11	19	12	8	1	10	10	4	20	6	6	12	11	4	19	12	13	8	8	6	5	9	8	7	7	5	5	7	4	10	13	7	5	
6	4	7	6	3	10	7	3	0	4	7	8	8	8	16	13	11	0	10	15	14	10	15	7	9	7	8	16	9	18	12	7	7	3	7	3	4	3	2	4	7	6	16	7	15	2	
2	6	7	10	4	14	9	0	0	6	6	9	13	16	15	12	10	0	11	20	14	9	12	6	14	12	5	12	6	15	14	12	4	11	7	11	3	3	2	5	3	6	14	13	14	9	
