"УИК №782"	"УИК №783"	"УИК №784"	"УИК №785"	"УИК №787"	"УИК №788"	"УИК №789"	"УИК №790"	"УИК №791"	"УИК №792"	"УИК №794"	"УИК №795"	"УИК №796"	
1379	1244	961	115	1015	745	313	403	143	581	172	234	94	
1400	1300	1050	145	1050	800	350	460	180	670	190	250	125	
0	0	11	0	0	0	0	0	0	0	0	0	0	
876	645	477	79	511	454	183	233	70	308	137	134	67	
87	80	77	3	97	65	41	41	21	76	0	70	9	
437	575	485	63	442	281	126	186	89	286	53	46	49	
87	80	88	3	97	65	41	41	21	76	0	70	9	
876	645	477	79	511	454	182	233	70	308	137	134	67	
10	5	5	3	8	0	2	4	0	2	0	1	0	
953	720	560	79	600	519	221	270	91	382	137	203	76	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

9	1	5	0	11	3	0	2	1	2	1	0	0	
188	131	92	9	72	86	14	29	6	44	28	18	8	
120	69	80	12	79	61	35	25	11	55	20	30	11	
603	495	371	58	420	353	169	211	71	272	84	153	56	
15	10	3	0	6	4	2	1	0	1	1	2	0	
5	10	4	0	6	5	1	0	1	5	2	0	0	
7	2	5	0	4	3	0	0	1	0	1	0	1	
6	2	0	0	2	4	0	2	0	3	0	0	0	
