"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	
1587	1387	1432	924	1526	892	921	1485	842	1187	361	112	213	152	109	717	287	1457	327	207	703	163	579	250	323	403	475	249	312	328	
1370	1200	1200	850	1300	850	850	1300	800	1100	350	100	200	150	109	700	270	1400	300	175	700	160	570	250	300	390	440	225	300	325	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1051	878	909	534	800	514	614	972	472	712	192	55	108	49	80	463	191	783	183	87	384	121	334	182	185	194	278	131	148	189	
45	49	91	31	84	36	86	99	92	84	87	24	47	64	21	55	44	73	53	65	123	30	103	17	53	114	80	49	71	44	
274	273	200	285	416	300	150	229	236	304	71	21	45	37	8	182	35	544	64	23	193	9	133	51	62	82	82	45	81	92	
45	49	91	31	84	36	86	99	92	84	87	24	47	64	21	55	44	73	53	65	123	30	103	17	53	114	80	49	71	44	
1051	878	909	534	800	514	614	972	472	712	192	55	108	49	80	463	191	783	183	87	384	121	334	182	185	194	278	131	148	189	
18	14	16	4	9	7	0	3	8	8	2	0	0	0	1	3	0	6	1	0	2	0	3	1	3	3	1	0	0	1	
1078	913	984	561	875	543	700	1068	556	788	277	79	155	113	100	515	235	850	235	152	505	151	434	198	235	305	357	180	219	232	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	7	5	5	4	2	0	8	8	4	1	0	0	1	0	2	1	2	3	1	1	0	2	0	3	2	2	1	4	2	
164	134	145	82	111	106	80	228	63	80	37	6	27	12	5	57	29	83	26	13	63	26	42	17	31	51	44	19	19	30	
75	56	48	46	77	50	45	89	42	65	16	8	7	4	10	41	12	52	11	10	27	12	21	20	7	16	27	5	14	21	
808	694	765	424	667	376	566	721	433	631	215	64	116	93	81	409	190	691	188	127	407	111	355	155	192	233	274	152	176	174	
8	11	6	1	5	4	3	8	3	4	3	0	2	2	3	0	1	6	2	1	3	0	2	1	1	1	3	1	0	3	
3	4	6	1	6	1	3	3	1	1	4	1	1	1	0	3	2	5	4	0	4	2	3	3	0	0	1	1	6	2	
7	3	3	2	1	3	2	8	1	1	1	0	1	0	0	2	0	6	1	0	0	0	5	2	1	1	1	1	0	0	
9	4	6	0	4	1	1	3	5	2	0	0	1	0	1	1	0	5	0	0	0	0	4	0	0	1	5	0	0	0	
