"УИК №2416"	"УИК №2417"	"УИК №2418"	"УИК №2419"	"УИК №2420"	"УИК №2421"	"УИК №2422"	"УИК №2423"	"УИК №2424"	"УИК №2425"	"УИК №2426"	"УИК №2427"	"УИК №2428"	"УИК №2429"	"УИК №2430"	"УИК №2431"	"УИК №2432"	"УИК №2433"	"УИК №2434"	"УИК №2435"	"УИК №2436"	"УИК №2437"	"УИК №2438"	"УИК №2439"	"УИК №2440"	"УИК №2441"	"УИК №2442"	"УИК №2443"	"УИК №2444"	"УИК №2445"	"УИК №2446"	"УИК №2447"	"УИК №2448"	"УИК №2449"	"УИК №2450"	"УИК №2451"	"УИК №2452"	"УИК №2453"	"УИК №2454"	"УИК №2455"	"УИК №2456"	"УИК №2457"	"УИК №2458"	"УИК №2459"	"УИК №2460"	"УИК №2461"	"УИК №2462"	"УИК №2463"	"УИК №2464"	"УИК №2465"	"УИК №2466"	"УИК №2467"	"УИК №2468"	"УИК №2469"	"УИК №2470"	"УИК №2471"	"УИК №2472"	"УИК №2473"	"УИК №3422"	
2887	3162	2024	2607	2348	2795	2768	1825	2441	2660	2319	2228	2729	2959	2753	2426	2629	2419	2677	2671	524	2534	2380	2451	2695	2183	2296	2236	2331	2427	2274	2232	2190	2111	2395	2252	2547	2368	2271	2213	2691	2859	2575	2134	2438	2454	1414	1514	2284	2313	2369	2909	2610	2436	2739	2419	2545	2256	1842	
2100	2300	1600	2100	1900	2100	2200	1500	1900	1900	1900	1800	2200	2300	2200	1800	2100	1900	2100	2100	450	2000	1900	2000	2100	1700	1800	1800	1800	1900	1700	1700	1700	1700	1800	1800	2000	1900	1800	1800	1900	2200	2000	1700	1900	1900	1100	1400	1800	1800	1900	2300	2000	2100	2200	1900	2000	1700	1300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1686	2035	1190	1636	1268	1547	1519	920	1396	1369	1232	1134	1548	1447	1491	1388	1398	1448	1516	1578	356	1567	1368	1445	1644	1258	1387	1316	1393	1291	1278	1355	1242	1212	1454	1290	1426	1333	1214	1267	1427	1588	1535	1187	1395	1336	924	973	1279	1381	1338	1643	1559	1530	1574	1262	1498	1382	1016	
15	22	14	24	20	20	19	64	58	44	79	77	37	47	23	36	40	16	24	35	14	30	30	30	30	32	21	23	21	31	52	29	34	41	24	39	51	38	67	41	38	26	18	28	18	29	11	9	24	30	29	39	33	47	35	19	19	11	20	
399	243	396	440	612	533	662	516	446	487	589	589	615	806	686	376	662	436	560	487	80	403	502	525	426	410	392	461	386	578	370	316	424	447	322	471	523	529	519	492	435	586	447	485	487	535	165	418	497	389	533	618	408	523	591	619	483	307	264	
15	22	14	24	20	20	19	64	58	44	79	77	37	47	23	36	40	16	24	35	14	30	30	30	30	32	21	23	21	31	52	29	34	41	24	39	51	38	67	41	38	26	18	28	18	29	11	9	24	30	29	39	33	47	35	19	19	11	20	
1686	2035	1188	1633	1268	1540	1519	919	1394	1368	1232	1134	1548	1439	1487	1387	1398	1448	1516	1578	356	1567	1365	1444	1644	1257	1386	1312	1389	1291	1273	1355	1242	1212	1453	1289	1426	1331	1214	1260	1427	1588	1535	1187	1395	1336	924	973	1279	1381	1338	1642	1559	1518	1574	1262	1498	1381	1016	
19	23	13	16	7	31	19	21	23	19	19	15	18	28	20	20	12	17	22	29	4	21	18	18	29	16	15	10	13	20	17	14	11	23	20	14	16	23	14	21	22	25	22	22	22	11	9	13	20	16	18	18	16	15	28	12	24	11	12	
1682	2034	1189	1641	1281	1529	1519	962	1429	1393	1292	1196	1567	1458	1490	1403	1426	1447	1518	1584	366	1576	1377	1456	1645	1273	1392	1325	1397	1302	1308	1370	1265	1230	1457	1314	1461	1346	1267	1280	1443	1589	1531	1193	1391	1354	926	969	1283	1395	1349	1663	1576	1550	1581	1269	1493	1381	1024	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

