"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	"УИК №285"	"УИК №286"	"УИК №287"	"УИК №288"	"УИК №289"	"УИК №290"	"УИК №291"	"УИК №292"	"УИК №293"	"УИК №294"	"УИК №295"	"УИК №296"	
2232	126	84	808	307	265	80	89	162	172	271	226	985	146	220	93	82	191	245	69	140	130	
2243	125	86	811	310	266	82	89	163	173	272	226	990	141	221	93	83	190	243	68	137	131	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2071	112	68	727	254	241	78	73	138	153	233	199	951	124	217	82	69	187	216	64	133	99	
64	11	13	71	38	19	1	14	21	13	33	25	15	17	0	9	12	0	25	3	4	28	
108	2	5	13	18	6	3	2	4	7	6	2	24	0	4	2	2	3	2	1	0	4	
64	11	13	71	38	19	1	14	21	13	33	25	15	17	0	9	12	0	25	3	4	28	
2071	112	68	727	254	241	78	73	138	153	233	199	951	124	217	82	69	187	216	64	133	99	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2135	123	81	798	292	260	79	87	159	166	266	224	966	141	217	91	81	187	241	67	137	127	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
32	1	2	9	5	1	1	1	2	1	3	3	10	1	2	1	1	0	3	0	2	0	
50	1	2	11	6	1	1	1	2	3	5	4	14	3	5	2	1	2	4	2	2	2	
2046	121	77	776	281	258	77	85	155	162	258	217	942	137	210	88	79	185	234	65	133	125	
2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
