"УИК №1425"	"УИК №1426"	"УИК №1427"	"УИК №1428"	"УИК №1429"	"УИК №1430"	"УИК №1431"	"УИК №1432"	"УИК №1433"	"УИК №1434"	"УИК №1435"	"УИК №1436"	"УИК №1437"	"УИК №1438"	"УИК №1439"	"УИК №1440"	"УИК №1441"	"УИК №1442"	"УИК №1443"	"УИК №1444"	"УИК №1445"	"УИК №1446"	"УИК №1447"	"УИК №1448"	"УИК №1449"	"УИК №1450"	"УИК №1451"	"УИК №1452"	"УИК №1453"	"УИК №1454"	"УИК №1455"	"УИК №1456"	"УИК №1457"	"УИК №1458"	"УИК №1459"	"УИК №1460"	"УИК №1461"	"УИК №1462"	"УИК №1463"	"УИК №1464"	"УИК №1465"	"УИК №1466"	"УИК №1467"	"УИК №1468"	"УИК №1469"	"УИК №1470"	"УИК №1471"	"УИК №1472"	"УИК №1473"	"УИК №1474"	"УИК №1475"	"УИК №1476"	"УИК №1477"	"УИК №1478"	"УИК №1479"	"УИК №1480"	"УИК №2619"	
1504	1301	1630	1224	959	1161	1056	1366	1135	669	950	987	746	1063	509	1467	1613	1643	1289	1052	1014	1582	1180	1542	1909	1599	933	1210	1053	779	588	716	1108	939	1647	956	1712	1903	1812	1443	872	965	239	1455	743	1451	1565	612	1424	1401	1201	992	583	1193	1049	1908	1149	
1130	1010	1285	895	740	830	750	1060	880	525	735	750	575	825	385	1165	1195	1175	945	800	800	1220	955	1160	1415	1200	690	905	810	595	435	520	830	730	1270	745	1295	1460	1375	1150	675	755	290	1150	575	1075	1205	460	1040	1050	930	745	445	910	820	1490	900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
603	608	740	632	412	376	442	412	428	369	382	416	345	417	276	660	783	715	532	506	646	743	601	767	873	667	387	618	433	291	311	315	508	429	618	611	780	854	899	667	402	425	202	661	390	671	683	335	606	632	660	359	401	534	430	755	570	
101	74	82	79	45	103	37	59	89	112	96	124	41	72	63	114	68	116	80	180	152	112	110	89	69	113	76	63	84	60	93	54	49	105	103	89	115	111	62	100	71	89	37	45	31	115	111	57	103	20	58	85	13	102	67	178	66	
426	328	463	184	283	351	271	589	363	44	257	210	189	336	46	391	344	344	333	114	2	365	244	304	473	420	227	224	293	244	31	151	273	196	549	45	400	495	414	383	202	241	51	444	154	289	411	68	331	398	212	301	31	274	323	557	264	
101	74	82	79	45	103	37	59	89	112	96	124	41	72	63	114	68	116	80	180	152	112	110	89	69	113	76	63	84	60	93	54	49	105	103	89	115	111	62	100	71	89	37	45	31	115	111	57	103	20	58	85	13	102	67	178	66	
603	608	740	632	412	376	442	412	428	369	382	416	345	417	276	660	782	715	532	506	646	743	601	767	873	667	387	618	433	291	311	315	508	429	618	611	780	854	899	667	402	425	202	661	390	671	683	335	606	631	660	359	401	534	430	755	570	
6	4	7	0	2	10	1	2	6	2	7	4	1	3	4	8	13	11	62	9	0	3	9	0	6	6	0	8	0	4	4	3	10	0	12	4	6	7	12	3	0	1	0	7	1	3	0	6	10	3	0	2	1	0	6	5	4	
698	678	815	711	455	469	478	469	511	479	471	536	385	486	335	766	837	820	550	677	798	852	702	856	936	774	463	673	517	347	400	366	547	534	709	696	889	958	949	764	473	513	239	699	420	783	794	386	699	648	718	442	413	636	491	928	632	
