"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	
2120	2181	1748	2952	2470	2579	2050	2180	1372	1571	1435	2570	1554	2464	1974	1062	2348	1457	2063	2010	2013	1913	745	
2000	2000	1700	2800	2200	2600	2000	2000	1250	1150	1200	2400	1350	2500	1800	1100	2400	1300	2100	2000	2000	1900	760	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1299	1421	1081	1618	1564	1467	1244	1410	894	1015	907	1607	1024	1405	1235	562	1258	802	1110	1094	1237	1083	468	
35	33	30	124	15	14	29	39	29	20	96	40	34	32	33	28	33	25	31	25	44	12	231	
666	546	589	1058	621	1119	727	551	327	115	197	753	292	1063	532	510	1109	473	959	881	719	805	61	
35	33	30	124	15	14	29	39	29	20	96	40	34	32	33	28	33	25	31	25	44	12	231	
1299	1421	1081	1618	1564	1467	1244	1410	894	1015	907	1607	1024	1405	1235	562	1258	801	1110	1094	1237	1083	468	
18	13	9	15	10	10	10	16	8	7	6	13	8	15	10	10	12	4	12	16	16	10	14	
1316	1441	1102	1727	1569	1471	1263	1433	915	1028	997	1634	1050	1422	1258	580	1279	822	1129	1103	1265	1085	685	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	3	4	7	11	8	7	4	7	7	3	6	7	8	11	1	7	3	7	5	10	4	3	
353	341	257	469	356	390	292	375	244	259	194	426	292	365	338	125	294	216	252	289	329	307	132	
72	74	69	102	78	70	69	57	40	46	48	86	36	94	60	52	96	58	83	108	100	53	41	
848	995	733	1098	1083	965	858	954	596	684	710	1062	670	897	819	383	847	522	754	667	798	684	483	
13	14	14	18	18	14	10	17	9	21	18	25	17	21	15	7	14	10	9	14	11	14	15	
8	7	3	7	9	6	9	5	7	4	3	5	4	15	7	4	2	5	5	8	3	11	5	
4	2	11	9	3	9	6	5	4	2	7	4	7	9	4	2	5	2	5	5	9	6	2	
10	5	11	17	11	9	12	16	8	5	14	20	17	13	4	6	14	6	14	7	5	6	4	
