"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	"УИК №402"	"УИК №403"	"УИК №404"	"УИК №405"	"УИК №406"	"УИК №407"	"УИК №408"	"УИК №409"	"УИК №410"	"УИК №411"	"УИК №412"	"УИК №413"	"УИК №414"	"УИК №415"	"УИК №416"	"УИК №417"	"УИК №419"	
2139	775	2726	2725	2867	2142	2932	1383	2371	1332	2715	1842	2775	2551	1325	1530	1670	680	2250	1546	380	1109	1214	1578	2074	721	2211	2437	2721	2516	151	
2000	700	2600	2600	2800	2000	2700	1300	2300	1300	2700	1800	2700	2400	1200	1300	1600	600	2100	1500	300	1000	1200	1500	1900	700	2100	2100	2700	2500	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1293	308	1709	1629	2015	1361	2054	956	1666	882	1698	1192	1743	1655	803	951	991	387	1384	802	162	608	766	968	1295	397	1371	1617	1646	1534	72	
63	12	38	193	24	14	19	9	25	19	65	35	56	32	10	7	44	2	22	35	11	13	12	36	13	22	56	34	51	20	75	
644	380	853	778	761	625	627	335	609	399	937	573	901	713	387	342	565	211	694	663	127	379	422	496	592	281	673	449	1003	946	53	
63	12	38	193	24	14	19	9	25	19	65	35	56	32	10	7	44	2	22	35	11	13	12	36	13	22	56	34	51	20	75	
1293	308	1709	1623	2014	1361	2053	956	1666	882	1697	1192	1743	1655	803	951	990	387	1384	802	162	608	763	968	1293	397	1371	1617	1645	1534	72	
10	2	13	22	13	17	16	6	21	10	7	11	17	23	9	6	10	2	22	13	0	10	11	7	11	8	13	22	18	21	2	
1346	318	1734	1794	2025	1358	2056	959	1670	891	1755	1216	1782	1664	804	952	1024	387	1384	824	173	611	764	997	1295	411	1414	1629	1678	1533	145	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	3	11	24	12	9	16	10	15	7	13	8	11	17	8	4	7	1	9	9	0	7	5	16	6	4	10	12	7	19	2	
107	43	185	195	244	175	274	100	216	109	202	143	196	185	90	82	108	46	179	98	22	70	90	98	173	32	185	224	255	194	16	
155	35	139	186	155	139	172	89	125	73	151	112	174	150	84	131	105	61	159	88	30	75	62	107	145	38	148	155	195	151	10	
1031	223	1315	1297	1512	973	1478	718	1221	669	1304	881	1315	1227	579	696	766	264	974	602	111	432	570	739	920	316	1013	1161	1168	1100	113	
21	4	35	49	46	29	58	16	44	14	30	34	31	34	14	18	12	5	24	17	3	9	15	11	20	9	21	37	25	38	2	
8	1	14	16	18	8	13	7	12	4	21	5	21	24	10	10	8	4	10	3	1	6	11	6	9	3	19	12	8	7	0	
7	2	24	14	24	13	17	10	20	9	14	17	17	15	13	6	11	5	18	4	3	8	6	14	8	7	11	16	10	13	1	
4	7	11	13	14	12	28	9	17	6	20	16	17	12	6	5	7	1	11	3	3	4	5	6	14	2	7	12	10	11	1	
