"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №778"	"УИК №779"	"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №784"	"УИК №785"	"УИК №786"	"УИК №787"	"УИК №788"	"УИК №789"	"УИК №790"	"УИК №791"	"УИК №792"	"УИК №793"	"УИК №794"	"УИК №795"	"УИК №796"	"УИК №797"	"УИК №798"	"УИК №799"	"УИК №800"	"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	
351	451	121	262	197	998	213	460	390	317	321	1917	1388	2283	1113	283	1136	215	229	281	330	190	586	240	123	789	384	229	203	756	306	129	225	89	451	1637	446	498	113	86	810	342	195	159	276	692	326	140	1057	372	318	843	229	455	707	520	896	338	784	448	182	251	390	213	371	955	
330	430	120	260	180	950	200	450	370	310	300	1760	1350	2150	1040	280	1100	210	210	270	320	180	580	230	130	750	370	220	190	720	300	115	210	90	430	1500	420	450	110	80	780	330	190	150	260	550	280	120	960	370	300	800	220	460	660	490	840	340	760	430	180	210	370	210	340	900	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
312	386	95	175	143	673	172	353	292	263	245	1270	864	1364	733	253	916	188	199	244	293	156	470	202	99	544	285	174	154	498	232	94	185	80	337	1118	360	390	104	78	726	295	168	123	238	518	219	117	869	328	254	641	180	331	539	470	814	266	713	409	144	198	285	159	316	679	
11	21	0	11	21	88	9	17	22	10	16	81	43	38	52	10	47	10	10	9	14	12	38	16	5	29	27	15	10	26	12	14	6	1	15	39	19	28	3	2	35	17	9	8	12	28	8	3	33	14	13	39	14	25	29	15	26	8	24	13	5	12	11	14	18	37	
7	23	25	74	16	189	19	80	56	37	39	409	443	748	255	17	137	12	1	17	13	12	72	12	26	177	58	31	26	196	56	7	19	9	78	343	41	32	3	0	19	18	13	19	10	4	53	0	58	28	33	120	26	104	92	5	0	66	23	8	31	0	74	37	6	184	
11	21	0	11	21	88	9	17	22	10	16	81	43	38	52	10	47	10	10	9	14	12	38	16	5	29	27	15	10	26	12	14	6	1	15	39	19	28	3	2	35	17	9	8	12	28	8	3	33	14	13	39	14	25	29	15	26	8	24	13	5	12	11	14	18	37	
312	386	95	175	143	673	172	353	292	263	245	1189	864	1364	733	253	916	188	199	244	293	156	470	202	99	544	285	174	154	498	232	94	185	80	337	1118	360	390	104	78	726	295	168	123	238	518	219	117	869	328	254	641	180	331	539	470	814	266	713	409	144	198	285	159	316	679	
0	2	0	1	0	15	3	5	7	4	4	21	10	16	13	2	24	0	5	4	1	1	9	4	1	6	6	2	1	9	3	4	1	2	19	36	9	3	1	0	10	1	0	3	2	0	3	2	1	4	6	7	8	9	4	10	10	3	1	14	1	1	3	0	4	10	
323	405	95	185	164	746	178	365	307	269	257	1249	897	1386	772	261	939	198	204	249	306	167	499	214	103	567	306	187	163	515	241	104	190	79	333	1121	370	415	106	80	751	311	177	128	248	546	224	118	901	338	261	673	186	347	564	475	830	271	736	408	148	209	293	173	330	706	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	0	0	1	0	4	0	4	2	5	1	8	4	9	1	1	7	0	2	0	1	0	0	0	2	1	1	0	0	2	1	0	1	0	3	5	2	0	0	0	3	1	0	2	3	2	5	0	3	2	1	3	0	1	4	2	2	5	4	2	1	1	0	1	3	3	
66	77	43	35	12	154	36	147	55	116	120	270	237	400	201	41	132	32	61	77	56	36	111	57	28	175	64	56	57	133	35	12	29	7	43	216	39	90	8	4	128	58	50	27	76	17	51	30	166	55	60	109	27	143	117	105	171	58	102	82	38	61	78	39	63	155	
14	12	3	15	11	26	6	5	8	21	7	27	18	56	23	8	32	11	11	6	7	5	9	3	3	29	10	2	4	10	2	5	8	0	17	74	14	18	12	4	13	17	3	4	7	15	7	5	15	8	13	21	5	11	11	16	20	9	11	5	5	5	8	2	4	23	
237	309	48	130	137	540	130	193	236	116	119	901	606	863	511	206	740	152	126	162	235	121	371	146	66	350	223	124	97	350	197	82	145	66	257	779	309	285	83	71	586	229	121	87	157	504	149	77	690	260	182	526	151	188	407	341	624	191	613	310	101	141	199	128	250	515	
1	2	0	2	2	9	3	11	1	9	4	17	12	24	18	1	11	3	2	1	2	0	3	4	2	5	8	4	1	8	4	2	3	0	7	18	6	13	0	1	10	1	1	5	2	1	9	2	15	5	2	8	1	0	10	8	6	3	0	3	3	1	4	1	6	4	
2	3	1	2	1	6	1	4	3	0	3	11	13	12	9	3	13	0	2	3	3	4	2	1	1	4	0	1	3	5	1	3	1	4	1	10	0	2	3	0	5	0	0	2	1	3	1	1	5	2	2	1	0	2	6	1	5	1	4	4	0	0	1	1	3	3	
0	0	0	0	1	6	2	1	2	1	2	9	4	15	6	1	1	0	0	0	1	1	0	3	0	3	0	0	0	4	0	0	2	0	3	12	0	2	0	0	3	2	0	1	0	2	2	0	4	4	0	3	1	2	7	1	0	4	2	1	0	0	2	0	0	1	
1	2	0	0	0	1	0	0	0	1	1	6	3	7	3	0	3	0	0	0	1	0	3	0	1	0	0	0	1	3	1	0	1	2	2	7	0	5	0	0	3	3	2	0	2	2	0	3	3	2	1	2	1	0	2	1	2	0	0	1	0	0	1	1	1	2	
