"УИК №2537"	"УИК №2538"	"УИК №2539"	"УИК №2540"	"УИК №2541"	"УИК №2542"	"УИК №2543"	"УИК №2544"	"УИК №2545"	"УИК №2546"	"УИК №2547"	"УИК №2548"	"УИК №2549"	"УИК №2550"	"УИК №2551"	"УИК №2552"	"УИК №2553"	"УИК №2554"	"УИК №2555"	"УИК №2556"	"УИК №2557"	"УИК №2558"	"УИК №2559"	"УИК №2560"	"УИК №2561"	"УИК №2562"	"УИК №2563"	"УИК №2564"	"УИК №2565"	"УИК №2566"	"УИК №2567"	"УИК №2568"	"УИК №2569"	"УИК №2570"	"УИК №2571"	"УИК №2572"	"УИК №2573"	"УИК №2574"	"УИК №2575"	"УИК №2576"	"УИК №2577"	"УИК №2578"	"УИК №2579"	"УИК №2580"	"УИК №2581"	"УИК №2582"	"УИК №2583"	"УИК №2584"	"УИК №2585"	"УИК №2586"	"УИК №2587"	"УИК №2588"	"УИК №2589"	"УИК №2590"	"УИК №2591"	"УИК №2592"	"УИК №2593"	"УИК №2594"	"УИК №3000"	"УИК №3001"	"УИК №3002"	"УИК №3003"	"УИК №3004"	"УИК №3005"	"УИК №3006"	"УИК №3007"	"УИК №3008"	"УИК №3009"	"УИК №3010"	"УИК №3011"	"УИК №3012"	"УИК №3013"	"УИК №3014"	"УИК №3015"	"УИК №3016"	"УИК №3017"	"УИК №3018"	"УИК №3019"	"УИК №3020"	"УИК №3021"	"УИК №3022"	"УИК №3023"	"УИК №3024"	"УИК №3025"	"УИК №3026"	"УИК №3027"	"УИК №3028"	"УИК №3029"	"УИК №3030"	"УИК №3031"	"УИК №3032"	"УИК №3033"	"УИК №3034"	
1871	1927	2196	1386	2337	2033	1335	1656	1763	2010	1519	984	2093	1099	1708	1300	1228	1745	2311	2298	2067	2553	1190	2028	1638	1789	1496	2338	1854	1672	2497	2194	2084	1138	2362	2841	2296	2003	2345	1448	2282	2287	2124	2293	2180	1580	1919	2290	1196	2351	2349	2307	2789	2824	2176	1283	1019	1126	11	11	11	9	9	8	12	12	12	12	12	12	11	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
1600	1800	2100	1300	2050	1850	675	1300	1800	1850	1450	552	1900	900	1110	778	695	1250	2050	1900	1950	2350	900	1950	1550	1157	911	2250	1800	1600	2300	2050	1950	1100	2050	2700	2100	1800	2050	726	2050	2000	2000	2150	2100	926	1850	2100	715	2200	2250	2200	2700	2600	2100	764	900	900	11	11	11	9	9	8	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	11	9	9	8	12	11	12	12	12	12	11	12	12	12	12	12	11	12	11	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
1085	1180	1252	805	1325	1137	670	779	977	1183	793	543	1202	398	1074	762	678	853	1219	1403	1153	1498	567	1136	854	1125	882	1404	1092	1039	1567	1322	1252	565	1522	1978	1635	1274	1424	710	1452	1464	1328	1423	1249	902	1202	1373	703	1447	1492	1373	1647	1702	1325	762	402	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	44	58	5	23	47	5	224	51	36	60	9	52	169	36	16	17	257	76	65	27	53	223	33	18	32	29	28	35	23	34	30	22	14	6	21	318	9	7	16	20	16	14	30	30	24	32	16	12	33	13	16	16	11	8	2	251	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
504	576	790	490	702	666	0	297	772	631	597	0	646	333	0	0	0	140	755	432	770	799	110	781	678	0	0	818	673	538	699	698	676	521	522	701	147	517	619	0	578	520	658	697	821	0	616	711	0	720	745	811	1037	887	767	0	247	230	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	44	58	5	23	47	5	224	51	36	60	9	52	169	36	16	17	257	76	65	27	53	223	33	18	32	29	28	35	23	34	30	22	14	6	21	318	9	7	16	20	16	14	30	30	24	32	16	12	33	13	16	16	11	8	2	251	126	11	11	11	9	9	8	12	11	12	12	12	12	11	12	12	12	12	12	11	12	11	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
1085	1180	1252	805	1322	1137	670	779	977	1183	793	542	1202	398	1072	757	677	852	1219	1399	1152	1496	567	1136	854	1123	872	1403	1090	1039	1566	1322	1252	565	1522	1976	1631	1274	1424	706	1452	1464	1328	1423	1249	898	1202	1373	703	1447	1492	1373	1647	1702	1325	762	402	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	9	12	9	14	14	6	16	9	21	5	3	14	2	7	10	5	14	16	16	9	18	9	19	9	2	11	21	13	9	10	9	11	15	23	20	35	10	11	5	17	11	17	21	19	14	13	10	5	17	19	9	20	14	8	9	5	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	
1081	1215	1298	801	1331	1170	669	987	1019	1198	848	548	1240	565	1101	763	689	1095	1279	1448	1170	1531	781	1150	863	1153	890	1410	1112	1053	1590	1343	1263	564	1505	1977	1914	1273	1420	717	1455	1469	1325	1432	1260	908	1221	1379	710	1463	1486	1380	1643	1699	1325	755	648	659	11	10	11	9	9	8	12	11	12	12	12	12	11	12	12	12	12	12	11	12	11	12	12	12	12	10	12	12	12	12	12	12	12	11	12	
