"УИК №1632"	"УИК №1633"	"УИК №1634"	"УИК №1635"	"УИК №1636"	"УИК №1637"	"УИК №1638"	"УИК №1639"	"УИК №1640"	"УИК №1641"	"УИК №1642"	"УИК №1643"	"УИК №1644"	"УИК №1645"	"УИК №1646"	"УИК №1647"	"УИК №1648"	"УИК №1649"	"УИК №1650"	"УИК №1651"	"УИК №1652"	"УИК №1653"	"УИК №1654"	"УИК №3713"	"УИК №3714"	
2449	2345	2079	630	1799	1598	2553	2197	857	2040	1648	1537	1939	2021	1997	1789	1119	1516	2037	1673	1487	2578	2610	79	738	
1800	1700	1500	400	1400	1200	1900	1600	600	1600	1200	1200	1500	1500	1400	1400	800	1100	1500	1300	1100	1900	2000	150	800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1380	1332	1181	359	867	893	1408	1269	479	1077	925	861	1291	1148	1175	928	574	857	1168	886	803	1584	1730	76	738	
68	74	27	0	89	43	55	45	12	54	20	48	45	58	45	57	33	24	66	66	25	45	49	0	0	
352	294	292	41	444	264	437	286	109	469	255	291	164	294	180	415	193	219	266	348	272	271	221	74	62	
68	74	27	0	89	43	55	45	12	54	20	48	45	58	45	57	33	24	66	66	25	45	49	0	0	
1378	1328	1181	359	867	893	1408	1269	479	1077	923	860	1291	1148	1175	927	574	857	1165	886	802	1576	1730	76	738	
17	26	13	8	12	5	19	7	3	20	7	10	12	16	13	6	11	24	16	15	16	23	14	0	6	
1429	1376	1195	351	944	931	1444	1307	488	1111	936	898	1324	1190	1207	978	596	857	1215	937	811	1598	1765	76	732	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

19	13	16	2	9	6	10	7	4	12	6	7	13	17	10	7	4	5	17	9	6	8	20	0	3	
179	189	155	61	106	128	191	180	70	152	137	127	119	135	152	118	92	102	136	130	96	171	243	4	38	
75	61	51	12	33	37	63	72	8	58	48	38	97	66	59	61	25	39	60	39	34	78	60	5	10	
983	929	811	226	696	669	1057	908	346	749	667	640	985	881	898	720	423	626	871	661	584	1216	1275	62	664	
67	96	67	37	36	48	46	70	28	58	38	39	42	40	48	32	26	35	59	44	39	57	71	4	5	
16	12	13	1	12	5	12	12	4	3	6	4	10	7	3	8	2	2	8	10	3	15	13	0	5	
32	22	22	3	17	12	25	19	16	23	13	12	16	12	9	5	7	14	14	14	21	15	37	0	2	
58	54	60	9	35	26	40	39	12	56	21	31	42	32	28	27	17	34	50	30	28	38	46	1	5	
