"УИК №434"	"УИК №435"	"УИК №436"	"УИК №437"	"УИК №438"	"УИК №439"	"УИК №440"	"УИК №441"	"УИК №442"	"УИК №443"	"УИК №444"	"УИК №445"	"УИК №446"	"УИК №447"	"УИК №448"	"УИК №449"	"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	
657	414	415	967	581	631	1374	581	169	622	472	756	415	1709	254	540	1023	160	606	634	452	2168	2418	2098	
550	350	350	800	500	500	1150	500	150	550	400	650	400	1400	200	500	850	150	500	550	350	2000	2200	2100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
373	257	228	575	264	327	797	284	67	353	248	373	283	1020	141	463	485	77	271	333	256	1768	2049	1851	
39	18	10	45	59	43	30	87	13	28	60	125	31	34	16	5	111	32	60	52	41	10	82	247	
138	75	112	180	177	130	323	129	70	169	92	152	86	346	43	32	254	41	169	165	53	222	69	2	
39	18	10	45	59	43	30	87	13	28	60	125	31	34	16	5	111	32	60	52	41	10	82	247	
373	257	228	575	264	327	797	284	67	353	248	373	283	1020	141	463	485	77	271	333	256	1768	2049	1851	
6	3	1	3	6	0	7	0	0	2	3	13	3	11	4	6	6	0	5	3	0	35	45	27	
406	272	237	617	317	370	820	371	80	379	305	485	311	1043	153	462	590	109	326	382	297	1743	2086	2071	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	1	3	0	0	4	2	0	2	1	3	3	8	3	5	5	2	0	7	1	5	16	15	
50	43	29	96	29	42	93	33	1	53	17	49	26	187	18	71	55	9	33	32	35	259	261	130	
27	8	25	54	25	29	48	34	4	19	27	60	31	87	7	20	41	7	17	32	10	156	196	206	
316	211	179	454	256	297	660	296	67	300	256	359	244	740	124	355	476	90	265	303	244	1280	1523	1571	
3	4	2	5	2	1	7	4	2	3	2	5	3	7	0	2	6	0	2	5	3	23	54	90	
7	0	0	2	5	1	2	1	6	1	1	4	3	7	1	2	3	1	3	0	2	7	13	8	
0	0	0	1	0	0	4	1	0	1	0	1	0	6	0	3	2	0	1	2	1	4	13	15	
0	3	1	2	0	0	2	0	0	0	1	4	1	1	0	4	2	0	5	1	1	9	10	36	
