"УИК №97"	"УИК №98"	"УИК №99"	"УИК №100"	"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	
1496	2406	3323	1748	2358	2762	1129	567	2461	2667	1831	1760	1725	1754	1952	2109	1856	1185	1715	1734	1650	1577	1860	1877	2152	2652	1627	1538	1863	2105	1877	1797	1493	1355	1908	2096	1859	1666	1834	1516	2427	1983	1438	1854	2171	1073	2314	699	1848	1195	1805	1894	2903	2063	1950	2149	1777	2286	1835	1840	1813	2458	2137	1375	2393	2601	2198	1169	2609	2094	2004	
1400	1464	1920	1700	1443	2600	1100	500	2400	2600	1140	996	872	1500	1218	1184	1700	1000	1051	1012	936	1600	1800	1900	2000	2600	1600	1500	1800	1900	1141	1038	1500	1300	1800	2000	1800	1600	1800	1400	2300	2000	1400	1900	2000	1000	2000	700	1800	730	1700	1800	2700	2000	2000	1305	1097	1395	1084	1800	1600	2500	2000	1300	2400	2600	2200	768	1513	1034	1192	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
809	1446	1902	1055	1429	1344	525	322	1341	1482	1118	979	838	992	1200	1168	1101	753	1034	969	916	812	1173	1049	1158	1528	970	809	1158	1154	1131	1022	834	671	1090	1022	905	855	892	668	1341	1129	899	866	1158	643	1405	686	905	718	999	1032	1845	1038	1150	1298	1081	1385	1075	1108	974	1216	1023	679	1162	1304	875	752	1494	1005	1176	
39	18	18	33	14	38	12	7	24	35	22	17	34	35	18	16	15	11	17	43	20	25	36	38	34	35	26	19	18	44	10	16	21	68	40	28	25	75	34	22	62	20	20	55	78	220	34	0	26	12	20	22	24	32	38	7	16	10	9	25	16	37	15	53	18	29	29	16	19	29	16	
552	0	0	612	0	1218	563	171	1035	1083	0	0	0	473	0	0	584	236	0	0	0	763	591	813	808	1037	604	672	624	702	0	0	645	561	670	950	870	670	874	710	897	851	481	979	764	137	561	14	869	0	681	746	831	930	812	0	0	0	0	667	610	1247	962	568	1220	1267	1296	0	0	0	0	
39	18	16	33	14	38	12	7	24	35	22	17	34	35	18	16	15	11	17	43	20	25	36	38	34	35	26	19	18	44	10	16	21	68	40	28	25	75	34	22	62	20	20	55	78	220	34	0	26	12	20	22	24	32	38	7	16	10	9	25	16	37	15	53	18	29	29	16	19	29	16	
809	1445	1886	1053	1426	1344	525	322	1317	1482	1115	977	836	992	1197	1166	1101	753	1023	959	916	811	1172	1049	1158	1526	970	809	1158	1154	1129	1016	834	671	1090	1022	904	855	892	668	1341	1127	898	865	1158	643	1404	684	905	717	998	1031	1844	1038	1150	1294	1079	1385	1075	1108	973	1216	1022	679	1161	1302	875	751	1486	1005	1176	
7	6	12	12	11	14	7	4	24	25	13	3	11	12	12	15	18	15	10	17	4	18	19	16	15	20	16	16	10	10	6	12	6	15	18	8	8	12	9	8	10	13	13	13	10	17	11	27	12	1	10	14	14	15	20	7	15	9	7	15	15	13	14	5	13	17	6	4	14	3	6	
841	1457	1890	1074	1429	1368	530	325	1317	1492	1124	991	859	1015	1203	1167	1098	749	1030	985	932	818	1189	1071	1177	1541	980	812	1166	1188	1133	1020	849	724	1112	1042	921	918	917	682	1393	1134	905	907	1226	846	1427	657	919	728	1008	1039	1854	1055	1168	1294	1080	1386	1077	1118	974	1240	1023	727	1166	1314	898	763	1491	1031	1186	
