"УИК №1293"	"УИК №1294"	"УИК №1295"	"УИК №1296"	"УИК №1297"	"УИК №1298"	"УИК №1299"	"УИК №1300"	"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	"УИК №1315"	
1000	863	891	832	916	565	535	303	367	146	568	472	144	346	124	679	391	254	257	623	737	210	412	
958	878	949	879	969	600	578	325	380	156	602	516	155	377	138	693	385	258	269	671	750	192	448	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
564	495	484	415	538	393	424	255	218	114	375	267	33	224	86	401	249	147	172	388	453	149	241	
77	22	36	44	26	65	44	8	25	9	49	64	70	32	33	104	17	6	30	51	78	19	48	
317	361	429	420	405	142	110	62	137	33	178	185	52	121	19	188	119	105	67	232	219	24	159	
77	22	36	44	26	65	44	8	25	9	49	64	70	32	33	104	17	6	30	51	78	19	48	
564	495	484	415	538	393	424	255	218	114	375	267	33	224	86	401	249	147	172	388	453	149	241	
7	4	11	10	16	0	4	8	2	0	3	5	0	1	0	3	1	4	1	8	8	0	1	
634	513	509	449	548	458	464	255	241	123	421	326	103	255	119	502	265	149	201	431	523	168	288	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	1	2	4	3	2	1	0	3	1	3	2	0	2	2	1	0	1	0	2	1	1	3	
116	96	106	88	101	41	43	13	31	16	41	38	2	28	8	55	30	32	13	54	41	14	47	
47	23	29	28	49	24	15	11	13	14	20	13	7	10	1	27	22	20	12	37	30	8	11	
459	380	367	323	381	375	400	226	193	90	346	266	94	206	108	414	209	93	172	331	449	144	222	
1	8	2	3	6	8	0	2	1	0	5	0	0	1	0	1	1	1	0	5	1	0	1	
2	2	1	2	3	4	4	2	0	0	3	5	0	4	0	1	2	1	0	2	0	0	0	
4	2	1	0	2	0	0	1	0	1	3	2	0	1	0	0	1	1	3	0	0	1	1	
2	1	1	1	3	4	1	0	0	1	0	0	0	3	0	3	0	0	1	0	1	0	3	
