"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №510"	"УИК №511"	"УИК №512"	
276	1160	726	1194	847	693	177	522	464	168	431	858	123	171	237	315	211	258	393	164	179	
290	1100	700	1100	800	700	190	500	400	150	390	800	120	180	250	300	200	290	400	150	180	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
156	622	369	716	488	365	75	234	145	62	224	562	67	91	113	79	69	67	156	54	67	
53	74	59	58	32	51	38	124	168	53	71	43	22	37	42	90	58	107	117	66	53	
81	404	272	326	280	284	77	142	87	35	95	195	31	52	95	131	73	116	127	30	60	
53	74	59	58	32	51	38	124	168	53	71	43	22	37	42	90	58	107	117	66	53	
156	622	369	716	488	365	75	234	145	62	224	562	67	91	113	79	69	67	156	54	67	
4	8	5	10	10	4	1	3	2	2	4	7	0	4	1	1	0	1	0	2	0	
205	688	423	764	510	412	112	355	311	113	291	598	89	124	154	168	127	173	273	118	120	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	11	1	3	4	5	1	1	1	0	1	3	0	1	0	1	3	1	2	0	0	
21	117	72	135	110	56	8	63	17	7	40	179	13	28	32	12	10	8	36	15	28	
35	75	60	84	47	59	12	38	31	12	37	60	11	12	19	18	17	22	21	15	11	
142	468	274	522	330	277	87	240	254	90	208	341	64	81	101	137	93	139	208	86	79	
3	5	8	7	6	8	2	6	2	1	4	6	0	0	1	0	1	1	4	1	1	
1	7	4	6	5	1	1	4	2	3	0	1	1	0	1	0	1	1	2	1	1	
1	1	1	3	3	3	0	3	2	0	0	4	0	2	0	0	2	0	0	0	0	
0	4	3	4	5	3	1	0	2	0	1	4	0	0	0	0	0	1	0	0	0	
